Mean,,,,,,,,,,,,,,,,,,,,,,
kappa,0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,,RAM_h,0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9
65,0.985673,0.980472,0.98322,0.9725605,0.9707325,0.9612975,0.948383,0.926839,0.857691,0.1064875,,65,0.041616,0.047123,0.043306,0.040795,0.0431045,0.035683,0.028697,0.0317305,0.0173355,0.002486
70,0.984304,0.9815175,0.98393,0.971942,0.969751,0.9625225,0.9580215,0.9236865,0.844025,0.1109295,,70,0.0478105,0.058277,0.0491555,0.050744,0.0487655,0.038817,0.0335315,0.0356245,0.016638,0.002811
75,0.9839445,0.9798705,0.9841345,0.9738115,0.9687605,0.9644615,0.9558995,0.9265895,0.8643315,0.10265,,75,0.0554645,0.064153,0.0558825,0.0581985,0.05857,0.0483665,0.040001,0.042576,0.02151,0.0033645
80,0.9864815,0.983882,0.9847535,0.9723355,0.9709515,0.9607865,0.954106,0.931328,0.85958,0.0865,,80,0.0650025,0.0712155,0.066477,0.065348,0.067549,0.0517435,0.043705,0.0505415,0.026497,0.003531
85,0.985753,0.9804845,0.986184,0.9731925,0.9712395,0.9623185,0.952388,0.930313,0.866869,0.1030735,,85,0.0690425,0.0813635,0.070907,0.0741475,0.075653,0.0628805,0.051506,0.05601,0.028566,0.004291
90,0.9875375,0.981203,0.9838295,0.972139,0.9708445,0.9625215,0.953031,0.930244,0.852132,0.1109395,,90,0.0815625,0.0929605,0.0781205,0.082383,0.080991,0.0710065,0.05832,0.0610195,0.030129,0.0047965
95,0.9880645,0.9835845,0.985058,0.9731805,0.970764,0.9610925,0.9561505,0.922848,0.8638795,0.13559,,95,0.0895695,0.1036285,0.0963565,0.087899,0.0907645,0.073743,0.0708885,0.066616,0.0373155,0.0054545
100,0.9869985,0.982742,0.9835235,0.975663,0.970785,0.965074,0.9544315,0.926354,0.864325,0.102304,,100,0.102963,0.113696,0.101826,0.0958335,0.1041265,0.085912,0.0680235,0.0751075,0.0404965,0.0058375
105,0.9864645,0.9808885,0.9857735,0.9730615,0.9728805,0.962728,0.954421,0.9262865,0.8548655,0.1263215,,105,0.112713,0.1268825,0.111723,0.1123385,0.110525,0.090423,0.0748935,0.082045,0.0424155,0.006475
110,0.987616,0.9838795,0.9853685,0.973798,0.972534,0.9620115,0.9555285,0.9262025,0.8651765,0.0959435,,110,0.121975,0.139378,0.122623,0.121145,0.1219585,0.1017135,0.08658,0.090598,0.049121,0.006942
115,0.9877475,0.98306,0.9849595,0.973872,0.973289,0.9632365,0.95232,0.9257185,0.863405,0.114592,,115,0.1375485,0.1504925,0.14011,0.1315055,0.1364815,0.1074885,0.0905375,0.101357,0.05028,0.0077655
120,0.987626,0.983275,0.984338,0.975329,0.9724355,0.962827,0.956654,0.929454,0.8701275,0.099102,,120,0.148724,0.170799,0.145826,0.147953,0.1507995,0.1173035,0.0983225,0.1087405,0.0589905,0.008389
125,0.987005,0.982953,0.9843415,0.9720395,0.9723045,0.9652785,0.9543385,0.9282335,0.8543425,0.110966,,125,0.159077,0.1775265,0.1533525,0.162302,0.152926,0.1293385,0.103618,0.1154665,0.0579445,0.0093165
130,0.9863755,0.9836835,0.986288,0.9740085,0.9720165,0.9638485,0.952406,0.931166,0.8671825,0.094347,,130,0.1714045,0.194504,0.1798985,0.1762615,0.174013,0.142099,0.114059,0.13058,0.071308,0.009697
,,,,,,,,,,,,,,,,,,,,,,
Std,,,,,,,,,,,,,,,,,,,,,,
kappa,0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,,RAM_h,0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9
65,0.002497501,0.009077837,0.006294665,0.002006062,0.002359615,0.009391085,0.002870854,0.00240982,0.066127212,0.037251092,,65,0.000881055,0.00213122,0.003350272,0.004194557,0.001827871,0.007424621,0.005495634,0.002588718,0.002812164,8.76812E-05
70,0.003565232,0.006148293,0.003256934,0.002286783,0.006498311,0.007948587,0.003867167,0.005998387,0.063806488,0.047925576,,70,0.003932221,0.005556445,0.004314058,0.005379668,0.005424216,0.011943034,0.008181933,0.001272085,0.00115117,0.000183848
75,0.00756675,0.006456592,0.003546141,0.002618416,0.004833075,0.009246835,0.003507957,0.004207992,0.052077707,0.029759296,,75,0.00653296,0.002288198,0.00926522,0.00663054,0.004259611,0.009811107,0.007411893,0.005332999,0.0039202,1.48492E-05
80,0.005142788,0.008021419,0.005287037,0.000820951,0.002956413,0.008956922,0.003032074,0.007616954,0.063682037,0.015328661,,80,0.008276685,0.00118299,0.008077988,0.001308148,0.003746252,0.013686052,0.010359114,0.006050713,0.006427601,0.000199404
85,0.004714988,0.006743677,0.003846661,0.003192587,0.000439113,0.008237087,0.002375879,0.003273904,0.060654205,0.023486552,,85,0.006508918,0.003138847,0.004559425,0.008490231,0.002998133,0.016384371,0.017062487,0.007211075,0.003248449,0.00038608
90,0.004232034,0.007755547,0.004558717,0.001412799,0.002809335,0.007373002,0.002385778,0.000379009,0.074299952,0.028427814,,90,0.003110563,0.00555291,0.003414619,0.007607055,0.00689712,0.018174766,0.017826162,0.003775243,0.005992023,0.000460327
95,0.003776657,0.005835752,0.003985254,0.00143472,0.004444873,0.011416239,0.006186477,0.007187033,0.067742951,0.039730916,,95,0.012806411,0.002696198,0.011850403,0.006228197,0.002754181,0.022955515,0.022752575,0.011827068,0.008420935,0.000604576
100,0.005868279,0.009053795,0.004992881,0.000890955,0.005915655,0.00838063,0.004971668,0.008869947,0.05553051,0.012723679,,100,0.01321724,0.006011822,0.004140817,0.010011925,0.001775545,0.024444681,0.012642362,0.010545083,0.004742565,0.000301935
105,0.006623469,0.008198903,0.003843125,0.000108187,0.005394518,0.010255877,0.002904795,0.006367497,0.064357324,0.047938304,,105,0.010391641,0.002451539,0.009461089,0.001141977,0.005395225,0.022388415,0.016117085,0.011770499,0.00877166,0.000376181
110,0.006741556,0.008024955,0.00529128,0.001441084,0.002856711,0.010400834,0.009474524,0.000996313,0.057816586,0.025622014,,110,0.013091375,0.009172589,0.007032884,0.017565947,0.002141826,0.027297857,0.017181281,0.011415532,0.001397243,0.000257387
115,0.004226377,0.007445834,0.005578365,0.001930402,0.004798427,0.010402248,0.00401071,0.010064251,0.060630164,0.049780317,,115,0.000654074,0.011188551,0.002143948,0.012410431,0.005142788,0.024255884,0.021711714,0.008865705,0.009759488,0.000614476
