detector,mean_n_detect,mean_n_TP,mean_n_FP,mean_delay,std_n_detect,std_n_TP,std_n_FP,std_delay
PH1,2536.35,100.0,2436.35,35.081,39.65132406364257,0.0,39.65132406364257,3.6789521606022544
PH2,455.65,86.45,369.2,159.54416594410085,22.327729396425422,3.625948151863179,21.027600909281116,9.72795410259874
PH3,4666.8,100.0,4566.8,16.1625,30.35061778613411,0.0,30.35061778613411,1.2875242716158795
PH4,3010.55,100.0,2910.55,27.905,31.57289185361392,0.0,31.57289185361392,2.0123158300823456
PH5,1647.9,100.0,1547.9,57.407500000000006,33.91150247334966,0.0,33.91150247334966,3.8987496393074528
PH6,146.7,49.5,97.2,203.49330784566376,9.849365461794989,4.153311931459037,8.795453370918407,16.198022250260863
PH7,3702.55,100.0,3602.55,21.582,44.26564695110645,0.0,44.26564695110645,2.055997568091947
PH8,2078.7,100.0,1978.7,46.296,33.28528203275435,0.0,33.28528203275435,3.800891211281901
PH9,2155.5,100.0,2055.5,35.26950000000001,27.85408408115406,0.0,27.85408408115406,2.8272433128402654
PH10,439.2,86.65,352.55,159.7918038388985,20.9966664020744,3.4680686267719674,19.698921290263588,10.28309495462251
PH11,3103.55,100.0,3003.55,20.5965,20.011184372745156,0.0,20.011184372745156,1.2373248360879212
PH12,2232.5,100.0,2132.5,31.9075,13.962449641807128,0.0,13.962449641807128,2.1844012337480496
PH13,1484.75,100.0,1384.75,57.903999999999996,23.568782318991364,0.0,23.568782318991364,3.850783556628444
PH14,143.85,49.45,94.4,203.96057694624406,9.40358974009394,4.200892762258994,8.224354077980836,15.902576407873957
PH15,2659.6,100.0,2559.6,25.241500000000002,19.70126899466123,0.0,19.70126899466123,1.756164214986742
PH16,1689.2,100.0,1589.2,47.980999999999995,23.707804622107044,0.0,23.707804622107044,3.606905737609454
ADWIN1,3.9,1.25,2.65,123.47619047619048,2.7184554438136375,0.9937303457175896,2.3296995514443486,97.40976404611231
ADWIN2,3.5,1.2,2.3,160.92380952380952,2.6172504656604803,1.2083045973594573,1.7635192088548397,117.03706876392884
ADWIN3,2.3,0.8,1.5,172.74074074074076,1.676305461424021,1.1224972160321824,1.3601470508735443,119.72167081881557
ADWIN4,1.55,0.5,1.05,172.14285714285714,1.6575584454250778,0.806225774829855,1.2439855304624727,143.3272265745452
ADWIN5,0.7,0.1,0.6,27.0,0.714142842854285,0.30000000000000004,0.6633249580710799,24.0
ADWIN6,0.5,0.1,0.4,197.0,0.6708203932499369,0.30000000000000004,0.66332495807108,146.0
ADWIN7,0.3,0.15,0.15,59.0,0.5567764362830021,0.3570714214271425,0.3570714214271425,11.313708498984761
ADWIN8,0.25,0.05,0.2,83.0,0.5361902647381804,0.21794494717703364,0.5099019513592785,0.0
ADWIN9,0.05,0.0,0.05,nan,0.21794494717703364,0.0,0.21794494717703364,nan
DDM1,0.2,0.05,0.15,234.0,0.4,0.21794494717703367,0.3570714214271425,0.0
DDM2,0.2,0.05,0.15,234.0,0.4,0.21794494717703367,0.3570714214271425,0.0
DDM3,52.6,21.95,30.65,237.03872132863972,7.585512507405152,4.5108203245086145,5.570233388288142,25.49538930584776
DDM4,1.65,0.45,1.2,192.69444444444443,1.4924811556599298,0.8046738469715542,1.0295630140987,126.66653569681338
DDM5,0.45,0.15,0.3,278.6666666666667,0.6689544080129827,0.3570714214271425,0.5567764362830021,166.84590362234118
DDM6,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan
DDM7,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan
DDM8,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan
DDM9,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan
DDM10,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan
SeqDrift21,1.6,0.75,0.85,352.3333333333333,1.42828568570857,0.8874119674649424,0.792148975887743,115.90225767142472
SeqDrift22,1.25,0.6,0.65,296.91666666666663,1.1346805717910218,0.8602325267042626,0.6538348415311012,122.59845816503748
SeqDrift23,1.0,0.45,0.55,287.88888888888886,1.0488088481701516,0.8046738469715541,0.6689544080129827,139.66450099973926
SeqDrift24,0.6,0.35,0.25,265.66666666666663,0.8602325267042626,0.7262919523166975,0.4330127018922193,142.9840705968481
SeqDrift25,0.1,0.05,0.05,399.0,0.30000000000000004,0.21794494717703364,0.21794494717703364,0.0
SeqDrift26,0.05,0.05,0.0,399.0,0.21794494717703364,0.21794494717703364,0.0,0.0
SeqDrift27,0.05,0.05,0.0,399.0,0.21794494717703364,0.21794494717703364,0.0,0.0
SeqDrift28,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan
SeqDrift29,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan
SeqDrift210,1.3,0.65,0.65,382.3333333333333,1.2688577540449522,0.792148975887743,0.792148975887743,122.47448713915891
SeqDrift211,0.85,0.4,0.45,382.3333333333333,1.0136567466356647,0.66332495807108,0.5894913061275798,143.37208778404377
SeqDrift212,0.6,0.35,0.25,469.0,0.9695359714832659,0.6538348415311009,0.5361902647381804,60.0
SeqDrift213,0.25,0.1,0.15,499.0,0.5361902647381804,0.30000000000000004,0.3570714214271425,0.0
SeqDrift214,0.1,0.05,0.05,499.0,0.30000000000000004,0.21794494717703364,0.21794494717703364,0.0
SeqDrift215,0.05,0.05,0.0,499.0,0.21794494717703364,0.21794494717703364,0.0,0.0
SeqDrift216,0.05,0.05,0.0,499.0,0.21794494717703364,0.21794494717703364,0.0,0.0
SeqDrift217,0.05,0.05,0.0,499.0,0.21794494717703364,0.21794494717703364,0.0,0.0
SeqDrift218,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan
