PH1,mean,std
med_sev,3.0,0.0
kurto_sev,1.3357546804734945,0.8303109348776158
skew_sev,1.156526620929592,0.11165091653229405
perc10_sev,0.0,0.0
perc90_sev,10.55,0.49749371855331
med_mag,4.924234614174767,0.04374316590145423
kurto_mag,0.04628005463720022,0.13379202389544484
skew_mag,-0.1972503632729292,0.048655334110374246
perc10_mag,4.472135954999578,1.7763568394002505e-15
perc90_mag,5.385164807134502,1.7763568394002505e-15
med_interv,34.2,0.8717797887081346
kurto_interv,9.716708906616116,4.838281363779423
skew_interv,2.361352167068535,0.335553835692242
perc10_interv,15.419999999999998,0.4812483766206385
perc90_interv,85.53500000000003,2.3134984331094968
,,
PH2,mean,std
med_sev,4.3,0.45825756949558405
kurto_sev,11.810362894475027,10.816492014178325
skew_sev,2.425525943022606,0.8729587365433743
perc10_sev,1.0,0.0
perc90_sev,12.270000000000001,0.5874521257089781
med_mag,4.964642819948225,0.04818371443277981
kurto_mag,0.11735660091860663,0.4002616992727388
skew_mag,-0.24748943670201573,0.14630258737181578
perc10_mag,4.468598981080679,0.038331120979422845
perc90_mag,5.398973922322076,0.03287226925785379
med_interv,133.25,6.900181157042183
kurto_interv,10.122864347114682,2.147272999783518
skew_interv,2.8417974112311577,0.24634579451704453
perc10_interv,32.745000000000005,2.3003206298253294
perc90_interv,516.385,30.959477951024862
,,
PH3,mean,std
med_sev,5.0,0.0
kurto_sev,-1.0864783158527451,0.03040095861372812
skew_sev,0.39184267274174384,0.026418702518657133
perc10_sev,1.0,0.0
perc90_sev,12.0,0.0
med_mag,4.939387691339815,0.0494897427831783
kurto_mag,0.0773418319513165,0.11404880557307501
skew_mag,-0.21332314157645035,0.04509394531392611
perc10_mag,4.472135954999578,1.7763568394002505e-15
perc90_mag,5.385164807134502,1.7763568394002505e-15
med_interv,19.05,0.21794494717703367
kurto_interv,8.391808792634729,2.303884967821099
skew_interv,2.333684713544966,0.1798196066871816
perc10_interv,14.0,0.0
perc90_interv,41.0,0.6324555320336759
,,
PH4,mean,std
med_sev,5.05,0.2179449471770336
kurto_sev,-1.1133633123347904,0.03321054391039653
skew_sev,0.3434031851319474,0.034138793055845315
perc10_sev,1.0,0.0
perc90_sev,11.95,0.21794494717703364
med_mag,4.944438717061496,0.050257071375762
kurto_mag,0.08479827593831313,0.13004779963410792
skew_mag,-0.2115320377824546,0.05611330877738555
perc10_mag,4.472135954999578,1.7763568394002505e-15
perc90_mag,5.385164807134502,1.7763568394002505e-15
med_interv,27.8,0.5099019513592786
kurto_interv,10.561343637974252,4.100455920611646
skew_interv,2.490981604422725,0.31160199167294694
perc10_interv,14.25,0.4330127018922193
perc90_interv,66.39000000000001,1.2609123680890566
,,
PH5,mean,std
med_sev,3.0,0.0
kurto_sev,6.073990999370165,2.8925924621552936
skew_sev,1.7977756496210553,0.26876968133674456
perc10_sev,0.05,0.21794494717703355
perc90_sev,11.0,0.0
med_mag,4.941913204200656,0.04864481311518824
kurto_mag,0.04613829326176418,0.1770041151702988
skew_mag,-0.2233734415802559,0.08554531612263946
perc10_mag,4.472135954999578,1.7763568394002505e-15
perc90_mag,5.3897678455303595,0.020064179200782045
med_interv,49.375,1.312202347201071
kurto_interv,17.87023842596759,9.33705727307187
skew_interv,3.038970647443993,0.5791770488645657
perc10_interv,18.4,0.48989794855663565
perc90_interv,137.13000000000002,4.653289159293674
,,
PH6,mean,std
med_sev,5.15,0.5722761571129799
kurto_sev,10.616863442312756,4.660900882926755
skew_sev,2.795597069940583,0.5767475178430909
perc10_sev,1.525,0.4804945369096302
perc90_sev,16.940000000000005,2.0323385544736383
med_mag,4.994748874194231,0.049836570261735276
kurto_mag,-0.01927171539703345,0.4747101755631538
skew_mag,-0.18163272482810558,0.15009106551443804
perc10_mag,4.501192690725288,0.059625632696006854
perc90_mag,5.432536067184635,0.04872801757638688
med_interv,368.675,45.36167848525889
kurto_interv,-0.4331086421498682,0.572897963878649
skew_interv,0.9862266552624506,0.204545571420436
perc10_interv,63.40000000000001,11.82886300537799
perc90_interv,1896.7150000000001,113.68768303998463
,,
PH7,mean,std
med_sev,5.0,0.0
kurto_sev,-1.0662764979890735,0.03685593096628493
skew_sev,0.4094036324696849,0.0239989151915326
perc10_sev,1.0,0.0
perc90_sev,11.95,0.21794494717703367
med_mag,4.939387691339814,0.04948974278317832
kurto_mag,0.07999586258851174,0.12605582419189004
skew_mag,-0.20853816120800026,0.05610340892453808
perc10_mag,4.472135954999578,1.7763568394002505e-15
perc90_mag,5.385164807134502,1.7763568394002505e-15
med_interv,23.55,0.4974937185533099
