detector,mean_n_detect,mean_n_TP,mean_n_FP,mean_delay,std_n_detect,std_n_TP,std_n_FP,std_delay
PH1,538.6,50.0,488.6,22.93,16.761264868738277,0.0,16.761264868738277,2.7334483715629236
PH2,90.1,49.8,40.3,57.01883673469388,5.243090691567332,0.39999999999999997,5.148786264742401,6.813560699125412
PH3,1034.9,50.15,984.75,13.227882352941176,20.593445559206454,0.3570714214271425,20.42272019100296,1.5186827640909553
PH4,427.25,50.0,377.25,19.6,18.242464197580325,0.0,18.242464197580325,2.292718909940772
PH5,297.0,50.0,247.0,30.683999999999997,8.087026647662292,0.0,8.087026647662292,3.4850687224214103
PH6,61.05,48.85,12.2,73.53540731292517,2.5782746168707478,0.7921489758877429,2.85657137141714,6.300277803086005
PH7,611.1,50.0,561.1,16.41,18.584671102820195,0.0,18.584671102820195,1.9332511476784386
PH8,300.55,50.0,250.55,26.163,14.033798487936187,0.0,14.033798487936187,3.706449918722767
PH9,490.3,50.0,440.3,24.256999999999998,10.555093557141026,0.0,10.555093557141026,2.3158866552575494
PH10,87.35,49.8,37.55,57.995448979591835,4.585575209284,0.39999999999999997,4.432550056118938,6.186010992520424
PH11,777.9,50.1,727.8,17.96062745098039,13.482952198980756,0.3,13.392535234226564,2.0634498065595626
PH12,335.65,50.0,285.65,23.368000000000002,10.398437382607062,0.0,10.398437382607062,2.3505267494755295
PH13,277.95,50.0,227.95,31.835,8.021689348260752,0.0,8.021689348260752,3.4056416429213456
PH14,60.1,48.9,11.2,73.72129166666666,2.507987240796891,0.7681145747868607,2.6758176320519307,6.342833373082314
PH15,477.85,50.0,427.85,20.52,13.108298898026394,0.0,13.108298898026394,1.338880129063091
PH16,252.1,50.0,202.1,28.734999999999996,9.131812525451888,0.0,9.131812525451888,4.250218229691271
ADWIN1,276.05,100.0,176.05,178.80800000000002,2.654712790491657,0.0,2.654712790491657,5.9637518392367745
ADWIN2,267.55,100.0,167.55,190.504,2.71062723368596,0.0,2.71062723368596,6.136245105925939
ADWIN3,259.25,100.0,159.25,203.79999999999998,2.299456457513384,0.0,2.299456457513384,6.012999251621439
ADWIN4,245.75,100.0,145.75,221.71999999999997,3.374537005279391,0.0,3.374537005279391,6.644817529473627
ADWIN5,228.0,100.0,128.0,251.496,3.8340579025361627,0.0,3.8340579025361627,8.051100794301362
ADWIN6,214.7,99.95,114.75,278.088606060606,3.407345007480164,0.21794494717703367,3.433292880020579,7.39788347762903
ADWIN7,205.4,100.0,105.4,313.32,1.9339079605813718,0.0,1.9339079605813718,7.006100199112198
ADWIN8,201.9,99.8,102.1,340.0056565656565,1.4106735979665883,0.39999999999999997,1.6093476939431082,5.36270779079982
ADWIN9,200.05,96.9,103.15,399.16129215758065,0.2179449471770337,1.7578395831246945,1.7399712641305316,4.58868154125537
DDM1,597.8,49.95,547.85,265.96795918367343,16.842208881260202,0.21794494717703367,16.844212655983657,5.273754998741928
DDM2,597.8,49.95,547.85,265.96795918367343,16.842208881260202,0.21794494717703367,16.844212655983657,5.273754998741928
DDM3,1419.1,53.55,1365.55,91.0114223585363,25.54388380806646,1.2835497652993435,25.223946955224914,6.429749355752361
DDM4,66.1,2.65,63.45,156.99912280701756,28.7,1.3518505834595773,27.390646213625555,32.89067726996992
DDM5,9.6,0.0,9.6,nan,2.7459060435491964,0.0,2.7459060435491964,nan
DDM6,257.4,38.7,218.7,395.95367931981707,12.74127152210485,3.4510867853474796,11.20758671614902,8.019897915403698
DDM7,257.4,38.7,218.7,395.95367931981707,12.74127152210485,3.4510867853474796,11.20758671614902,8.019897915403698
DDM8,697.25,50.0,647.25,219.49099999999999,13.816204254425308,0.0,13.816204254425308,5.935387013497943
DDM9,29.2,2.35,26.85,299.8280701754386,12.905812643921342,1.2757350822173075,11.722947581559854,35.898362882996295
DDM10,4.9,0.0,4.9,nan,1.997498435543818,0.0,1.997498435543818,nan
SeqDrift21,298.4,100.0,198.4,179.4,5.276362383309167,0.0,5.276362383309167,8.49352694703443
SeqDrift22,291.9,100.0,191.9,177.7,4.657252408878007,0.0,4.657252408878007,7.662245101796209
SeqDrift23,281.45,99.9,181.55,175.87121212121212,3.930330774883966,0.30000000000000004,3.9048047326338864,8.40203263397673
SeqDrift24,265.9,99.9,166.0,175.17777777777778,4.357751713900185,0.30000000000000004,4.415880433163924,8.281541782326473
SeqDrift25,242.2,99.7,142.5,172.6376211090497,4.166533331199932,0.5567764362830021,4.283689998120779,8.761867406858107
SeqDrift26,227.0,99.1,127.9,174.19311078383242,4.33589667773576,0.9433981132056604,4.763402145525822,8.800903598816465
SeqDrift27,211.55,97.35,114.2,185.9390377469984,3.4709508783617204,1.3518505834595773,3.0757112998459393,8.523097130059654
SeqDrift28,204.35,95.3,109.05,194.5068437477476,3.48245602987317,2.3259406699226015,2.1788758569500923,7.012489973675854
SeqDrift29,181.0,79.75,101.25,235.87718403510826,4.560701700396552,4.7526308503817125,1.2196310917650468,9.197883937058148
SeqDrift210,283.15,100.0,183.15,213.8,3.1507935508376295,0.0,3.15079355083763,4.791659420284375
SeqDrift211,281.4,100.0,181.4,216.3,3.1685959035509716,0.0,3.1685959035509716,5.376802023508026
SeqDrift212,273.0,100.0,173.0,225.2,3.0659419433511785,0.0,3.0659419433511785,7.4269778510508555
SeqDrift213,269.75,100.0,169.75,228.6,3.2384409829422554,0.0,3.2384409829422554,7.227724399837061
SeqDrift214,255.1,100.0,155.1,244.1,4.241462012089699,0.0,4.241462012089699,8.932524839036272
SeqDrift215,242.8,100.0,142.8,255.6,4.319722213291035,0.0,4.319722213291035,7.825599018605541
SeqDrift216,225.6,99.9,125.7,273.979797979798,4.5541190146942805,0.30000000000000004,4.561797891182817,6.672325422078002
SeqDrift217,217.55,99.9,117.65,283.98686868686866,4.188973621306298,0.30000000000000004,4.25764019146757,6.546537118979663
SeqDrift218,203.25,99.5,103.75,311.0762317048031,1.1346805717910218,0.6708203932499369,1.3369741957120937,7.193812342559879
