detector,mean_n_detect,mean_n_TP,mean_n_FP,mean_delay,std_n_detect,std_n_TP,std_n_FP,std_delay
PH1,3452.75,100.0,3352.75,33.829,39.79934044679635,0.0,39.79934044679635,3.2232001178952574
PH2,739.35,81.65,657.7,138.5045843115657,31.620049019569848,3.650684867254362,29.02946778706079,12.897681084854463
PH3,6375.55,100.0,6275.55,16.125,36.14481290586521,0.0,36.14481290586521,1.359133915403482
PH4,4338.9,100.0,4238.9,24.878999999999998,48.17146458226074,0.0,48.17146458226074,2.733914592667445
PH5,2310.3,99.85,2210.45,55.22124108431251,34.423974204034025,0.4769696007084729,34.18841177943194,5.692366517465639
PH6,257.85,54.55,203.3,165.14891957494828,20.281210516140302,2.765411361804967,18.45020325091298,14.919619146878475
PH7,5126.0,100.0,5026.0,21.130000000000003,44.68780594300866,0.0,44.68780594300866,1.919283720558271
PH8,3172.8,100.0,3072.8,37.299,47.332441306148574,0.0,47.332441306148574,3.7565634561391343
PH9,2931.1,100.0,2831.1,34.5505,28.558536377062463,0.0,28.558536377062463,3.0575847903206226
PH10,701.3,81.65,619.65,139.41314548272283,30.550122749344233,3.6915443922564446,27.959390193636196,13.629672787791002
PH11,4216.5,100.0,4116.5,20.151000000000003,19.802777582955375,0.0,19.802777582955375,1.2238010459220892
PH12,3148.35,100.0,3048.35,28.603500000000004,26.452362843421003,0.0,26.452362843421003,2.718715275640317
PH13,2064.8,99.85,1964.95,56.46475891568748,27.308606701917252,0.4769696007084729,27.050831780187462,6.6199554719679
PH14,252.4,54.5,197.9,165.60635921254834,18.521339044464362,2.7477263328068173,16.789580101956094,14.49496121551819
PH15,3647.5,100.0,3547.5,24.401000000000003,22.06920931977401,0.0,22.06920931977401,2.411088758216918
PH16,2499.6,100.0,2399.6,39.097500000000004,34.3749909090897,0.0,34.3749909090897,4.073360866655445
ADWIN1,100.9,66.35,34.55,325.9589245311815,0.8888194417315588,5.0226984779100565,4.674130935264865,13.321385758302874
ADWIN2,100.35,62.55,37.8,329.22754418420044,0.5722761571129799,6.807899822999748,6.764613810115105,15.568424077005519
ADWIN3,100.1,57.9,42.2,337.6122109453055,0.4358898943540674,5.575840743780259,5.409251334519409,12.923406609980043
ADWIN4,99.75,50.55,49.2,345.6499294951327,0.5361902647381804,5.352335938634645,5.344155686354955,14.897687758126201
ADWIN5,98.7,40.4,58.3,362.4086987262845,1.2288205727444508,4.5431266766402185,4.172529209005012,14.00496857886228
ADWIN6,96.85,31.8,65.05,376.68762055524354,1.388344337691482,4.812483766206387,4.387197283004265,15.95568839575995
ADWIN7,91.6,19.3,72.3,387.0912640198302,2.3748684174075834,4.382921400162226,3.7563279941985894,16.686904129059677
ADWIN8,87.3,14.55,72.75,404.87343001941304,2.2605309110914633,3.5563323804166562,3.4478254016118624,26.16747491935298
ADWIN9,71.55,3.8,67.75,383.56428571428575,2.8718460961548766,1.7204650534085253,2.4672859582950655,68.69609387773774
DDM1,2.95,0.9,2.05,287.23611111111114,1.4991664350564948,0.9433981132056605,1.3219304066402284,124.70079854977119
DDM2,2.95,0.9,2.05,287.23611111111114,1.4991664350564948,0.9433981132056605,1.3219304066402284,124.70079854977119
DDM3,484.75,59.4,425.35,194.34152181994665,20.96872671384698,2.939387691339814,19.548081747322424,13.074682226995149
DDM4,45.35,10.35,35.0,292.9600799200799,8.14416969371341,2.2197972880423116,7.694153624668538,46.40023732695859
DDM5,13.6,2.95,10.65,266.6780701754386,3.4985711369071804,1.4654350889752845,3.102821296820041,85.68235538855564
DDM6,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan
DDM7,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan
DDM8,3.5,0.75,2.75,383.1388888888889,1.6278820596099706,0.7664854858377946,1.7284386017443605,79.05582396300184
DDM9,0.2,0.0,0.2,nan,0.4000000000000001,0.0,0.4000000000000001,nan
DDM10,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan
SeqDrift21,73.0,48.3,24.7,314.089001571211,9.40744386111339,8.474078120952155,3.6207733980463344,15.434365291376944
SeqDrift22,62.45,40.35,22.1,320.93672049489294,7.338085581403368,7.044678842928185,2.567099530598687,17.435561183473073
SeqDrift23,49.75,29.3,20.45,335.8128345850383,7.967904366895978,7.142128534267639,3.48532638356869,22.615296968726813
SeqDrift24,34.25,17.8,16.45,351.52665408771554,8.531559060335924,7.7110310594628,3.9175885439897846,34.13152875394277
SeqDrift25,17.15,7.3,9.85,358.21959619328044,5.755649398634354,4.232020793899765,2.8857408061016154,48.40099123824308
SeqDrift26,7.65,2.7,4.95,391.078111946533,4.292726406376255,2.471841418861655,2.71062723368596,63.22395776289344
SeqDrift27,2.45,0.95,1.5,426.0,2.4181604578687494,1.2835497652993437,1.2449899597988732,74.57211275000863
SeqDrift28,0.85,0.15,0.7,499.0,0.8529361054615991,0.3570714214271425,0.8426149773176358,0.0
SeqDrift29,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan
SeqDrift210,102.95,86.55,16.4,286.04322936045685,1.9358460682605938,3.1220986531498336,3.2619012860600183,11.012665276850969
SeqDrift211,101.65,85.35,16.3,292.0510754887498,2.372235232855292,3.4680686267719674,3.421987726453735,13.075288841538217
SeqDrift212,99.75,82.0,17.75,299.5209230111721,2.0706279240848655,3.8600518131237567,3.418698582794336,12.924665025790492
SeqDrift213,96.0,77.2,18.8,310.55807657894536,4.110960958218893,5.4644304369257,3.4146742157927745,14.084894177191373
SeqDrift214,84.2,61.6,22.6,327.51475400195625,6.04648658313239,6.575712889109438,3.8910152916687437,15.430375164321942
SeqDrift215,66.0,42.5,23.5,346.4430416041812,10.024968827881711,9.856469956328178,4.165333119931706,16.234881273169186
SeqDrift216,37.6,20.45,17.15,365.6729112768407,9.936800289831732,8.731981447529535,4.05308524460071,26.64819072561302
SeqDrift217,20.3,9.3,11.0,377.4199411699412,5.657738063926255,3.7960505792204615,2.7202941017470885,38.72844356566611
SeqDrift218,2.4,0.45,1.95,424.0,1.3928388277184118,0.5894913061275798,1.16081867662439,82.915619758885
