detector,mean_n_detect,mean_n_TP,mean_n_FP,mean_delay,std_n_detect,std_n_TP,std_n_FP,std_delay
PH1,2326.25,100.0,2226.25,36.6125,41.90092481079624,0.0,41.90092481079624,3.800520852462198
PH2,444.05,84.55,359.5,147.73970437087615,22.471036914214707,3.2630507198019467,21.338931557132845,11.976406129221182
PH3,4266.4,100.0,4166.4,16.685,34.666121790589735,0.0,34.666121790589735,1.1208412019550316
PH4,2809.15,100.0,2709.15,28.989500000000003,37.68988591120965,0.0,37.68988591120965,3.04572729409578
PH5,1525.35,99.95,1425.4,62.51916666666666,35.45035260755526,0.21794494717703367,35.42230935441675,5.62313730887344
PH6,147.4,53.6,93.8,167.13369387841595,10.8,3.746998799039039,8.634813257969162,19.68078422968719
PH7,3401.65,100.0,3301.65,22.904999999999998,40.26074390768258,0.0,40.26074390768258,2.5417366110594544
PH8,1988.9,100.0,1888.9,45.257,30.629887365121014,0.0,30.629887365121014,4.833652966442668
PH9,1960.35,100.0,1860.35,38.4285,23.45906008347308,0.0,23.45906008347308,3.304247682907563
PH10,424.9,84.7,340.2,147.3382713127926,20.866001054346757,3.1796226191169294,19.479733057719248,11.243229255352425
PH11,2824.6,100.0,2724.6,21.238000000000007,14.954597955144095,0.0,14.954597955144095,1.502217028261895
PH12,2066.0,100.0,1966.0,32.3875,21.302582003128165,0.0,21.302582003128165,2.938780146591439
PH13,1368.55,99.95,1268.6,63.94915656565657,17.608165719347372,0.21794494717703367,17.519703193832935,6.105483855699556
PH14,145.4,53.55,91.85,167.26227973700185,10.82774214691133,3.734635189680513,8.696407304168774,19.622763577562914
PH15,2431.65,100.0,2331.65,26.7185,18.290092946729384,0.0,18.290092946729384,2.3755678794764
PH16,1599.45,100.0,1499.45,47.51349999999999,21.12457100156119,0.0,21.12457100156119,4.401224005887452
ADWIN1,32.0,13.75,18.25,232.90762990283298,12.087183294713455,5.864085606469264,7.8668608733089975,23.99724871049741
ADWIN2,27.8,13.1,14.7,224.9440796409473,12.30690862889621,6.114736298484179,7.0078527381787925,47.022922246475204
ADWIN3,24.3,11.6,12.7,222.20625582750586,9.160240171523888,4.1521078984053394,6.356886030125127,39.74668947905852
ADWIN4,21.5,9.2,12.3,203.22395382395382,8.974965180990955,4.202380277890139,5.74543296888929,34.730169815878945
ADWIN5,11.6,5.15,6.45,177.22800751879697,7.806407624509497,3.6231892028984634,5.142713291638957,57.46645276425148
ADWIN6,9.15,4.4,4.75,164.45916666666668,6.567153112270186,3.006659275674582,4.0972551787751765,70.66277772045021
ADWIN7,4.9,2.5,2.4,175.32192982456138,4.897958758503383,1.6278820596099706,3.484250278036869,63.00336713656487
ADWIN8,2.7,1.7,1.0,193.34444444444446,2.1,1.307669683062202,1.3416407864998738,91.82191836025876
ADWIN9,0.95,0.75,0.2,148.25,0.864580823289529,0.698212002188447,0.5099019513592785,60.14998614574515
DDM1,0.2,0.15,0.05,459.0,0.4,0.3570714214271425,0.21794494717703367,24.657656011875904
DDM2,0.2,0.15,0.05,459.0,0.4,0.3570714214271425,0.21794494717703367,24.657656011875904
DDM3,101.05,35.2,65.85,221.96471830146675,10.56633806008496,3.487119154832538,9.986365705300402,23.148677694257337
DDM4,4.75,2.25,2.5,294.97222222222223,2.4672859582950655,1.299038105676658,1.5329709716755893,76.78079267275632
DDM5,1.8,0.8,1.0,271.375,0.9797958971132713,0.812403840463596,0.7745966692414834,111.22408406006318
DDM6,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan
DDM7,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan
DDM8,0.05,0.05,0.0,211.0,0.21794494717703364,0.21794494717703364,0.0,0.0
DDM9,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan
DDM10,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan
SeqDrift21,5.45,2.85,2.6,277.5915343915344,2.2907422377910613,1.878163997099295,1.5937377450509227,87.98146337135665
SeqDrift22,4.3,2.25,2.05,264.79854497354495,2.4310491562286436,1.7571283390805579,1.5960889699512368,121.6186024537303
SeqDrift23,3.25,1.9,1.35,278.84313725490193,1.9461500456028564,1.4798648586948742,1.061838029079765,121.93579180119255
SeqDrift24,1.95,1.2,0.75,302.04487179487177,1.3955285736952863,1.1224972160321824,0.698212002188447,125.22256517258528
SeqDrift25,0.55,0.35,0.2,262.1666666666667,0.8046738469715542,0.5722761571129797,0.4000000000000001,138.38763994262237
SeqDrift26,0.35,0.25,0.1,278.75,0.653834841531101,0.5361902647381804,0.30000000000000004,138.0477725282085
SeqDrift27,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan
SeqDrift28,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan
SeqDrift29,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan
SeqDrift210,13.55,7.45,6.1,260.8242732267732,4.165033013074447,3.412843389316304,1.9467922333931784,47.79577896335482
SeqDrift211,11.4,6.1,5.3,262.4769444444445,4.294182110716778,3.080584360149872,2.147091055358389,51.58063947136017
SeqDrift212,8.7,4.7,4.0,266.722035480859,3.4073450074801643,2.882707061079915,1.6733200530681511,48.96858227464668
SeqDrift213,6.0,2.95,3.05,250.37058823529412,2.6645825188948455,2.132486811213612,1.2439855304624727,59.444296034409625
SeqDrift214,2.8,1.3,1.5,232.525,1.8867962264113207,1.5198684153570663,0.806225774829855,56.56418367659875
SeqDrift215,1.1,0.7,0.4,257.537037037037,0.9949874371066201,0.9,0.48989794855663565,59.037588872368644
SeqDrift216,0.55,0.3,0.25,277.1,0.5894913061275798,0.5567764362830021,0.4330127018922193,65.15090175891658
SeqDrift217,0.25,0.2,0.05,269.75,0.4330127018922193,0.4000000000000001,0.21794494717703364,70.77208135981307
SeqDrift218,0.05,0.0,0.05,nan,0.21794494717703364,0.0,0.21794494717703364,nan
