detector,mean_n_detect,mean_n_TP,mean_n_FP,mean_delay,std_n_detect,std_n_TP,std_n_FP,std_delay
PH1,895.85,56.7,839.15,26.956096659710596,47.32575937055844,2.12367605815953,45.452475180126335,4.49938141807187
PH2,95.5,49.9,45.6,59.914571428571435,6.51536645170477,0.3,6.343500610861482,5.077385746211011
PH3,3071.15,92.55,2978.6,17.58744997266034,118.38170255575817,2.635811070619441,115.91091406765801,1.9125897082009493
PH4,496.3,50.0,446.3,19.278,18.2375985261218,0.0,18.2375985261218,1.712085278249889
PH5,337.35,50.0,287.35,31.117000000000008,11.26621054303531,0.0,11.26621054303531,3.328857311450883
PH6,63.6,48.95,14.65,77.45572065421915,3.2,0.8046738469715541,3.350746185553301,5.495090180357494
PH7,775.25,50.2,725.05,17.187019607843137,32.14012289957834,0.39999999999999997,31.925655827249656,1.9207826039432259
PH8,340.2,50.0,290.2,26.607000000000006,12.2417319036156,0.0,12.2417319036156,2.562204324405062
PH9,817.9,56.8,761.1,28.84161379093349,41.72397392387259,2.3366642891095846,39.624361193588975,4.502072771669861
PH10,92.8,49.9,42.9,60.41269387755102,5.784461945591828,0.3,5.593746508378799,4.5035424437074045
PH11,2419.2,92.9,2326.3,21.657459719736785,91.43609790449284,2.6248809496813372,89.01297658206919,2.0308919907496543
PH12,385.55,50.0,335.55,23.558,10.82346986876205,0.0,10.82346986876205,2.642157451780647
PH13,317.55,50.0,267.55,32.022000000000006,11.715267815974162,0.0,11.715267815974162,3.5787142942682637
PH14,62.4,48.9,13.5,77.65610330728036,3.261901286060018,0.8306623862918073,3.3391615714128,5.62648970728955
PH15,607.05,50.3,556.75,21.283549019607847,22.0396801247205,0.45825756949558394,21.805675866617847,2.685193205800993
PH16,283.65,50.0,233.65,29.423000000000002,11.078244445759445,0.0,11.078244445759445,4.084116918013
ADWIN1,221.05,99.8,121.25,249.39983838383836,4.224630161327734,0.39999999999999997,4.121589499210226,9.341297876316771
ADWIN2,216.5,99.75,116.75,259.86597979797983,3.774917217635375,0.4330127018922193,3.7399866309921483,8.65448579622743
ADWIN3,210.8,99.75,111.05,276.49131560502985,3.627671429443411,0.5361902647381804,3.5843409436045564,8.343580401181702
ADWIN4,206.95,99.65,107.3,295.31894042465467,2.692118125194361,0.5722761571129799,2.72213151776324,9.927969667238115
ADWIN5,202.2,99.4,102.8,326.7327256235828,1.4,0.66332495807108,1.5033296378372907,10.964031019196668
ADWIN6,200.7,98.25,102.45,350.44130931500996,0.7810249675906654,1.2599603168354152,1.6271140095272978,9.634381542403652
ADWIN7,200.05,94.8,105.25,357.23130604834944,0.3840572873934304,2.039607805437114,1.9461500456028564,9.954081623803894
ADWIN8,199.9,90.65,109.25,338.87794727638135,0.30000000000000004,2.4550967394381837,2.48746859276655,18.11656790253259
ADWIN9,188.3,82.8,105.5,147.06203132646388,3.2419130154894655,3.1874754901018454,4.893873721296862,20.39356320909651
DDM1,926.65,49.5,877.15,297.85914007092197,19.79715888707266,0.806225774829855,19.76935760210736,8.76019815170847
DDM2,926.65,49.5,877.15,297.85914007092197,19.79715888707266,0.806225774829855,19.76935760210736,8.76019815170847
DDM3,2322.95,53.5,2269.45,97.85078806721704,22.6483443103464,1.118033988749895,22.53990905039326,7.712773707544195
