detector,mean_n_detect,mean_n_TP,mean_n_FP,mean_delay,std_n_detect,std_n_TP,std_n_FP,std_delay
PH1,248.9,52.35,196.55,36.309757877732906,14.518608748774794,1.5898113095584647,13.691146774467068,10.108210998379379
PH2,50.3,49.9,0.4,6.3209591836734695,0.5567764362830021,0.3,0.66332495807108,0.28801691013685515
PH3,779.1,74.05,705.05,128.7963894427159,35.73219836506005,2.7654113618049663,34.135721758884785,10.05858058539661
PH4,56.9,49.65,7.25,2.8167551020408164,1.9467922333931786,0.4769696007084729,2.0706279240848655,0.15058715984894017
PH5,52.9,49.8,3.1,4.992979591836734,1.9209372712298547,0.39999999999999997,1.8947295321496416,0.19235590191859325
PH6,50.05,50.0,0.05,7.636,0.21794494717703367,0.0,0.21794494717703364,0.370599514300815
PH7,65.75,49.55,16.2,2.7749795918367353,3.884263121880391,0.4974937185533099,3.854867053479276,0.15159669966813497
PH8,54.0,49.6,4.4,2.8969795918367347,1.7320508075688772,0.4898979485566357,1.772004514666935,0.18640586191453748
PH9,248.2,52.3,195.9,36.204587566052204,14.372195378577345,1.8193405398660252,13.311273417671204,10.250003240764634
PH10,50.3,49.9,0.4,6.3209591836734695,0.5567764362830021,0.3,0.66332495807108,0.28801691013685515
PH11,747.45,74.75,672.7,125.56033495948438,29.331680824664648,3.080178566252288,28.028735255091338,11.871587492419572
PH12,55.8,49.75,6.05,2.841122448979592,1.8330302779823358,0.4330127018922193,1.909842925478428,0.17269820778001427
PH13,52.9,49.8,3.1,4.992979591836734,1.9209372712298547,0.39999999999999997,1.8947295321496416,0.19235590191859325
PH14,50.05,50.0,0.05,7.636,0.21794494717703367,0.0,0.21794494717703364,0.370599514300815
PH15,63.6,49.7,13.9,2.8074897959183676,3.3823069050575527,0.45825756949558394,3.345145736735546,0.17315425276896415
PH16,53.75,49.65,4.1,2.895979591836735,1.6085707942145413,0.4769696007084729,1.6703293088490065,0.18590348178497113
ADWIN1,100.0,100.0,0.0,38.444,0.0,0.0,0.0,0.8964284689812114
ADWIN2,100.0,100.0,0.0,39.292,0.0,0.0,0.0,1.041352966097471
ADWIN3,100.0,100.0,0.0,40.268,0.0,0.0,0.0,1.0529653365614662
ADWIN4,100.0,100.0,0.0,41.644,0.0,0.0,0.0,0.7738113465180005
ADWIN5,100.0,100.0,0.0,43.884,0.0,0.0,0.0,0.873283459135692
ADWIN6,100.0,100.0,0.0,46.188,0.0,0.0,0.0,0.8238058023587826
ADWIN7,100.0,100.0,0.0,48.572,0.0,0.0,0.0,1.2675393485016562
ADWIN8,100.0,100.0,0.0,50.492000000000004,0.0,0.0,0.0,1.0063478523850498
ADWIN9,100.0,100.0,0.0,58.156000000000006,0.0,0.0,0.0,0.9300666642773525
DDM1,1052.3,50.9,1001.4,49.64839947067361,14.177799547179387,0.8306623862918073,14.433987668000828,3.560573617096833
DDM2,1052.3,50.9,1001.4,49.64839947067361,14.177799547179387,0.8306623862918073,14.433987668000828,3.560573617096833
DDM3,1494.4,54.1,1440.3,47.37134670612612,19.069347130932403,1.6703293088490063,18.783237207680685,3.6600538661730635
