detector,mean_n_detect,mean_n_TP,mean_n_FP,mean_delay,std_n_detect,std_n_TP,std_n_FP,std_delay
PH1,1717.35,97.55,1619.8,98.42526072216643,32.03634654575955,1.3592277219068185,31.775147521294063,8.288810781925644
PH2,104.25,51.75,52.5,24.506571551536275,9.283722313813572,1.3369741957120937,8.494115610232768,8.96905180261673
PH3,3552.55,100.0,3452.55,37.715500000000006,31.70090692708964,0.0,31.70090692708964,4.356216793273722
PH4,1995.95,99.7,1896.25,74.1517222222222,42.4799658662763,0.45825756949558394,42.336597643173924,6.205897236633634
PH5,953.25,85.35,867.9,113.87489760127139,29.434461095797218,3.213642792844283,27.790106153089805,11.79646487068041
PH6,54.8,50.0,4.8,19.083999999999996,2.08806130178211,0.0,2.0880613017821097,1.7412822861328372
PH7,2601.6,100.0,2501.6,56.52049999999999,38.06888493244845,0.0,38.06888493244845,5.172820773040566
PH8,1168.05,93.5,1074.55,111.23064651550074,52.77449668163592,1.9364916731037085,51.496092084739786,8.732838082074007
PH9,1544.1,97.75,1446.35,99.52062917884241,27.504363290212698,1.5124483462254175,27.24752282318523,7.83486735871136
PH10,101.7,51.7,50.0,24.762889350128056,8.894380248224156,1.3076696830622019,8.080841540334768,9.079027137107438
PH11,2539.85,100.0,2439.85,42.1985,22.068699553893065,0.0,22.068699553893065,3.312710785746319
PH12,1592.0,99.75,1492.25,77.9141313131313,26.96850014368615,0.4330127018922193,26.901440481877547,5.635330903985002
PH13,896.1,86.0,810.1,116.37054522942526,26.17040313025384,3.0166206257996713,24.525293066546627,10.814150498378048
PH14,54.25,50.0,4.25,19.083999999999996,1.8131464364468746,0.0,1.8131464364468746,1.7412822861328372
PH15,2013.85,100.0,1913.85,60.294500000000006,21.767579102876827,0.0,21.767579102876827,4.99581172083176
PH16,993.6,93.6,900.0,112.97843891791656,40.71658138891328,2.0346989949375804,39.29885494515076,8.635929902335395
ADWIN1,100.6,100.0,0.6,86.09200000000001,0.5830951894845301,0.0,0.5830951894845301,2.334629735097194
ADWIN2,100.4,100.0,0.4,87.98,0.5830951894845301,0.0,0.5830951894845301,2.4071892322790087
ADWIN3,100.2,100.0,0.2,91.324,0.39999999999999997,0.0,0.4000000000000001,2.530024505810171
ADWIN4,100.2,100.0,0.2,95.244,0.39999999999999997,0.0,0.4000000000000001,2.500252787219724
ADWIN5,100.1,100.0,0.1,101.67600000000002,0.30000000000000004,0.0,0.30000000000000004,2.992427776906237
ADWIN6,100.0,100.0,0.0,108.604,0.0,0.0,0.0,2.869491941093406
ADWIN7,100.0,100.0,0.0,116.748,0.0,0.0,0.0,2.5404755460346404
ADWIN8,100.0,100.0,0.0,122.98800000000001,0.0,0.0,0.0,2.4144100728749445
ADWIN9,100.0,100.0,0.0,141.64400000000003,0.0,0.0,0.0,3.4203719096028142
DDM1,153.9,40.2,113.7,197.76033913056395,11.493041372935188,3.026549190084311,9.638983348880732,20.172104895100766
DDM2,153.9,40.2,113.7,197.76033913056395,11.493041372935188,3.026549190084311,9.638983348880732,20.172104895100766
DDM3,1883.65,56.25,1827.4,30.89271811644168,29.39944727371588,2.48746859276655,29.943947635540642,3.520887965815787
DDM4,853.95,51.15,802.8,76.14443032274995,25.08480615831025,1.1079259903080168,24.939125886846956,6.868086041063518
DDM5,253.85,29.9,223.95,204.0715755006565,27.961178444407526,3.207802986469088,25.43712837566379,23.39796819069418
DDM6,2.65,1.35,1.3,246.9102564102564,2.0316249653910043,1.2757350822173075,1.2688577540449522,114.59625550229784
DDM7,2.65,1.35,1.3,246.9102564102564,2.0316249653910043,1.2757350822173075,1.2688577540449522,114.59625550229784
DDM8,419.55,51.0,368.55,118.70022972194845,18.813492498736114,1.449137674618944,19.29371659375145,13.980226070341455
DDM9,70.85,25.4,45.45,243.80141708954153,7.129340782989686,3.891015291668744,5.113462623311135,19.595677958351562
DDM10,7.65,2.75,4.9,277.96152882205513,2.4550967394381837,1.5771810295587503,2.071231517720798,87.6928637528873
SeqDrift21,103.05,99.95,3.1,80.30681818181819,1.4654350889752843,0.21794494717703367,1.4106735979665885,1.6922205935368126
SeqDrift22,102.4,99.95,2.45,81.10732323232324,1.2409673645990855,0.21794494717703367,1.2031209415515964,1.5958939660140725
SeqDrift23,101.65,99.95,1.7,82.00883838383838,1.2359207094308275,0.21794494717703367,1.2288205727444508,1.9224141444393656
SeqDrift24,101.3,99.95,1.35,83.50984848484849,1.1,0.21794494717703367,1.1079259903080168,2.3368640887979164
SeqDrift25,100.55,99.95,0.6,85.61035353535354,0.4974937185533099,0.21794494717703367,0.5830951894845301,1.9056180500130282
SeqDrift26,100.2,100.0,0.2,87.25,0.39999999999999997,0.0,0.4,2.0463381929681126
SeqDrift27,100.1,100.0,0.1,89.8,0.30000000000000004,0.0,0.30000000000000004,2.4310491562286436
SeqDrift28,100.0,100.0,0.0,91.9,0.0,0.0,0.0,2.4979991993593593
SeqDrift29,100.0,100.0,0.0,98.65,0.0,0.0,0.0,2.056088519495209
SeqDrift210,102.85,99.85,3.0,149.88308080808082,1.558043645088288,0.3570714214271425,1.4832396974191326,0.815454481330083
SeqDrift211,102.5,99.9,2.6,149.87727272727273,1.7175564037317668,0.30000000000000004,1.7146428199482247,0.8177453942663901
SeqDrift212,101.8,99.9,1.9,149.87727272727273,1.568438714135812,0.30000000000000004,1.57797338380595,0.8177453942663901
SeqDrift213,101.35,99.95,1.4,149.8007575757576,1.710993863226867,0.21794494717703367,1.7435595774162693,0.7138321644791552
SeqDrift214,100.85,100.0,0.85,149.6,1.5256146302392357,0.0,1.5256146302392357,0.43588989435406733
SeqDrift215,100.25,100.0,0.25,149.6,0.5361902647381804,0.0,0.5361902647381804,0.43588989435406733
SeqDrift216,100.1,100.0,0.1,149.5,0.30000000000000004,0.0,0.30000000000000004,0.0
SeqDrift217,100.05,100.0,0.05,149.6,0.21794494717703367,0.0,0.21794494717703364,0.43588989435406733
SeqDrift218,100.0,100.0,0.0,149.8,0.0,0.0,0.0,0.714142842854285
