detector,mean_n_detect,mean_n_TP,mean_n_FP,mean_delay,std_n_detect,std_n_TP,std_n_FP,std_delay
PH1,2146.35,100.0,2046.35,57.8245,40.8488371927525,0.0,40.8488371927525,4.53916674622116
PH2,392.85,71.85,321.0,105.18330271853827,32.23705166419535,3.539420856580918,29.913207785190806,10.025350070037858
PH3,4052.85,100.0,3952.85,22.0605,40.33642894456573,0.0,40.33642894456573,2.051295870906974
PH4,2701.6,100.0,2601.6,38.512,43.62270051246254,0.0,43.62270051246254,3.2866663962136466
PH5,1369.6,97.8,1271.8,91.19868438878215,37.91094828674166,1.74928556845359,37.568071550187405,9.116771292287645
PH6,134.2,53.95,80.25,56.010420074694174,11.196428001822724,2.4387496796514396,9.67406326214585,13.841305285594046
PH7,3221.7,100.0,3121.7,30.458999999999993,49.13969881877584,0.0,49.13969881877584,3.0818710226094796
PH8,1953.35,99.95,1853.4,55.94614646464646,36.5858920897113,0.21794494717703367,36.482050380975025,5.31713145337168
PH9,1839.0,99.95,1739.05,59.715757575757586,26.449952740978574,0.21794494717703367,26.471635763586654,5.361828879664342
PH10,375.75,71.65,304.1,105.19632451293293,28.70692425182468,3.5954832776693593,26.305702803764813,11.554122797328453
PH11,2737.05,100.0,2637.05,27.781,16.246461153125008,0.0,16.246461153125008,2.167680557646814
PH12,1996.5,100.0,1896.5,41.803,27.897132469126642,0.0,27.897132469126642,3.6799362766221924
PH13,1239.75,97.85,1141.9,92.71831801966087,21.36790818025948,1.4585952145814822,21.156322931927463,9.33794452184232
PH14,131.55,53.9,77.65,56.439283147126204,10.57106900932919,2.507987240796891,9.01263002680128,14.132286749498801
PH15,2331.15,100.0,2231.15,34.956,23.831229510875012,0.0,23.831229510875012,2.6116286106565765
PH16,1563.85,99.95,1463.9,59.5045303030303,27.017170466205375,0.21794494717703367,26.97202254188588,4.000872133429566
ADWIN1,100.55,99.95,0.6,155.1310202020202,0.6689544080129826,0.21794494717703367,0.7348469228349533,5.224654604375969
ADWIN2,100.2,100.0,0.2,160.23599999999996,0.4,0.0,0.4,5.194926755980302
ADWIN3,100.2,100.0,0.2,166.3,0.39999999999999997,0.0,0.4000000000000001,5.413582917070727
ADWIN4,100.1,100.0,0.1,174.50799999999998,0.30000000000000004,0.0,0.30000000000000004,4.954603515923346
ADWIN5,100.05,100.0,0.05,190.14000000000001,0.21794494717703367,0.0,0.21794494717703364,5.220513384716106
ADWIN6,100.05,100.0,0.05,203.80400000000003,0.21794494717703367,0.0,0.21794494717703364,5.94253010089137
ADWIN7,100.0,99.95,0.05,224.94643434343433,0.0,0.21794494717703367,0.21794494717703364,6.506687247591166
ADWIN8,100.0,99.95,0.05,239.73479797979795,0.0,0.21794494717703367,0.21794494717703364,7.412431614665847
ADWIN9,100.0,99.2,0.8,294.92833328179756,0.0,1.2489995996796797,1.2489995996796797,7.172990783309735
DDM1,22.8,10.3,12.5,258.41399725274727,4.226109321823088,3.348133808556641,2.692582403567252,48.72108192922969
DDM2,22.8,10.3,12.5,258.41399725274727,4.226109321823088,3.348133808556641,2.692582403567252,48.72108192922969
DDM3,1050.15,59.5,990.65,67.2326785805768,26.06199340035217,3.278719262151,26.197852965462648,9.143291270574098
DDM4,235.2,46.75,188.45,176.20231251319385,11.956588142108101,2.021756661915573,11.204798079394381,14.122662793846915
DDM5,75.7,23.2,52.5,253.82135960096397,9.654532614269838,4.154515615568198,8.327664738688751,26.398203034738437
DDM6,0.05,0.0,0.05,nan,0.21794494717703364,0.0,0.21794494717703364,nan
DDM7,0.05,0.0,0.05,nan,0.21794494717703364,0.0,0.21794494717703364,nan
DDM8,58.5,21.25,37.25,240.53808727701607,7.896201618499872,4.157823950096974,5.786838515113412,27.42181546965113
DDM9,4.5,1.95,2.55,266.26666666666665,1.9364916731037085,1.627114009527298,1.2439855304624727,80.2760904282492
DDM10,0.35,0.15,0.2,298.3333333333333,0.4769696007084728,0.3570714214271425,0.4000000000000001,63.226225219884476
SeqDrift21,103.15,99.95,3.2,105.89166666666665,1.5898113095584645,0.21794494717703367,1.5362291495737217,2.5751348400509912
SeqDrift22,102.45,99.95,2.5,107.74267676767677,1.4654350889752843,0.21794494717703367,1.396424004376894,3.126904878057005
SeqDrift23,102.05,99.95,2.1,109.59419191919191,1.3592277219068185,0.21794494717703367,1.3,3.5733136211617476
SeqDrift24,101.4,99.95,1.45,112.74520202020203,1.0198039027185568,0.21794494717703367,0.9733961166965892,3.616730626117423
SeqDrift25,100.7,99.95,0.75,117.82904040404041,0.8426149773176358,0.21794494717703367,0.9937303457175896,3.8022472516040273
SeqDrift26,99.85,99.55,0.3,123.35142945338086,0.7262919523166974,0.864580823289529,0.5567764362830021,4.722013157794269
SeqDrift27,98.5,98.05,0.45,134.28729078123837,3.248076353782343,3.412843389316304,0.6689544080129828,5.561723048920764
SeqDrift28,92.1,90.8,1.3,142.90676670134957,8.70574522944475,9.626006440887103,1.2688577540449522,6.285985502941767
SeqDrift29,22.45,21.4,1.05,150.91559707263656,11.512927516492057,11.024518130059018,0.9205976319760985,24.837771853533386
