detector,mean_n_detect,mean_n_TP,mean_n_FP,mean_delay,std_n_detect,std_n_TP,std_n_FP,std_delay
PH1,1421.7,73.75,1347.95,33.27457700311088,64.63984839091131,3.031088913245535,62.34538876292295,4.620999658704417
PH2,108.45,49.9,58.55,59.811244897959185,4.88339021582343,0.3,4.831925082200675,4.887565598942383
PH3,3780.8,99.85,3680.95,17.13218686868687,46.32018998233924,0.3570714214271425,46.176265548439495,1.7753380470728812
PH4,569.6,50.0,519.6,19.401999999999997,15.489996772110702,0.0,15.489996772110702,2.1272037984170673
PH5,443.95,50.5,393.45,31.783027903469083,16.7405943741553,0.6708203932499369,16.677754645035407,3.1318312276076163
PH6,67.85,49.3,18.55,78.84715458098131,3.1348843678834473,0.9,2.9744747435471695,6.611516604000094
PH7,1652.35,73.0,1579.35,24.343765859666266,136.6097635602961,4.764451699828638,132.01336106621937,4.723494101104504
PH8,377.35,50.0,327.35,25.947000000000003,13.598805094566215,0.0,13.598805094566215,2.739783020605829
PH9,1299.7,73.2,1226.5,33.73681606477392,54.16927173222842,3.171750305430741,51.58730463980455,4.840817556913327
PH10,104.8,49.9,54.9,60.655795918367346,5.325410782277738,0.3,5.309425580983314,4.685934036481135
PH11,2943.25,99.75,2843.5,21.64631818181818,31.52439531537441,0.4330127018922193,31.27538968582166,1.7257801228488416
PH12,443.95,50.0,393.95,24.228,10.466494159937222,0.0,10.466494159937222,2.941526134509092
PH13,416.65,50.5,366.15,33.14556636500753,13.882633035559213,0.6708203932499369,13.875427921329129,3.305304256910468
PH14,66.7,49.3,17.4,79.04102958098132,3.0512292604784714,0.9,2.8879058156387303,6.614833031760394
PH15,1352.85,74.0,1278.85,27.35324892887172,108.0413231129645,4.8166378315169185,103.35728082723539,3.748026918732698
PH16,314.85,50.0,264.85,28.893000000000008,8.86721489533213,0.0,8.86721489533213,3.3109954696435335
ADWIN1,210.0,99.75,110.25,268.9156050298908,2.8106938645110393,0.5361902647381804,2.6995369973386176,8.051081465003428
ADWIN2,207.55,99.6,107.95,278.52478086992375,2.1788758569500923,0.6633249580710798,2.1558061137310096,9.190353019443812
ADWIN3,204.35,99.15,105.2,293.43084339715267,1.7109938632268673,0.8529361054615989,1.8601075237738274,8.484395838162364
ADWIN4,202.25,98.4,103.85,308.11930956100025,1.5451537140362444,1.1135528725660042,2.0316249653910043,12.92670210371696
ADWIN5,200.85,96.75,104.1,318.4289000906913,0.7262919523166975,1.7571283390805579,2.0223748416156684,14.197050876215814
ADWIN6,200.05,93.4,106.65,321.2559954739338,0.49749371855331,1.9849433241279208,2.2422087324778666,12.389368600332814
