detector,mean_n_detect,mean_n_TP,mean_n_FP,mean_delay,std_n_detect,std_n_TP,std_n_FP,std_delay
PH1,50.0,50.0,0.0,4.443,0.0,0.0,0.0,0.10359054010864113
PH2,50.0,50.0,0.0,5.423,0.0,0.0,0.0,0.1035905401086411
PH3,50.0,49.65,0.35,2.4802040816326527,0.0,0.4769696007084729,0.47696960070847283,0.09719690658947064
PH4,50.0,49.65,0.35,2.4802040816326527,0.0,0.4769696007084729,0.47696960070847283,0.09719690658947064
PH5,50.0,50.0,0.0,4.443,0.0,0.0,0.0,0.10359054010864113
PH6,50.0,50.0,0.0,6.4030000000000005,0.0,0.0,0.0,0.10359054010864117
PH7,50.0,49.65,0.35,2.4802040816326527,0.0,0.4769696007084729,0.47696960070847283,0.09719690658947064
PH8,50.0,49.65,0.35,2.4802040816326527,0.0,0.4769696007084729,0.47696960070847283,0.09719690658947064
PH9,50.0,50.0,0.0,4.443,0.0,0.0,0.0,0.10359054010864113
PH10,50.0,50.0,0.0,5.423,0.0,0.0,0.0,0.1035905401086411
PH11,50.0,49.65,0.35,2.4802040816326527,0.0,0.4769696007084729,0.47696960070847283,0.09719690658947064
PH12,50.0,49.65,0.35,2.4802040816326527,0.0,0.4769696007084729,0.47696960070847283,0.09719690658947064
PH13,50.0,50.0,0.0,4.443,0.0,0.0,0.0,0.10359054010864113
PH14,50.0,50.0,0.0,6.4030000000000005,0.0,0.0,0.0,0.10359054010864117
PH15,50.0,49.65,0.35,2.4802040816326527,0.0,0.4769696007084729,0.47696960070847283,0.09719690658947064
PH16,50.0,49.65,0.35,2.4802040816326527,0.0,0.4769696007084729,0.47696960070847283,0.09719690658947064
ADWIN1,100.0,100.0,0.0,26.972,0.0,0.0,0.0,0.3102515108746453
ADWIN2,100.0,100.0,0.0,26.972,0.0,0.0,0.0,0.3102515108746453
ADWIN3,100.0,100.0,0.0,27.96399999999999,0.0,0.0,0.0,0.22852570971337144
ADWIN4,100.0,100.0,0.0,28.764,0.0,0.0,0.0,0.259969228948351
ADWIN5,100.0,100.0,0.0,30.028,0.0,0.0,0.0,0.35453631689856574
ADWIN6,100.0,100.0,0.0,32.044,0.0,0.0,0.0,0.25749563103089756
ADWIN7,100.0,100.0,0.0,33.964000000000006,0.0,0.0,0.0,0.2766658634526496
ADWIN8,100.0,100.0,0.0,35.932,0.0,0.0,0.0,0.31025151087464536
ADWIN9,100.0,100.0,0.0,40.891999999999996,0.0,0.0,0.0,0.31839597987411866
DDM1,50.0,0.7,49.3,1.0,0.0,0.7810249675906654,0.7810249675906654,0.0
DDM2,50.0,0.7,49.3,1.0,0.0,0.7810249675906654,0.7810249675906654,0.0
DDM3,2.25,0.2,2.05,1.0,0.9937303457175896,0.4000000000000001,0.9733961166965892,0.0
DDM4,1.0,0.1,0.9,1.0,0.0,0.30000000000000004,0.30000000000000004,0.0
DDM5,1.0,0.1,0.9,1.0,0.0,0.30000000000000004,0.30000000000000004,0.0
DDM6,50.0,0.7,49.3,1.0,0.0,0.7810249675906654,0.7810249675906654,0.0
DDM7,50.0,0.7,49.3,1.0,0.0,0.7810249675906654,0.7810249675906654,0.0
DDM8,2.25,0.2,2.05,1.0,0.9937303457175896,0.4000000000000001,0.9733961166965892,0.0
DDM9,1.0,0.1,0.9,1.0,0.0,0.30000000000000004,0.30000000000000004,0.0
DDM10,1.0,0.1,0.9,1.0,0.0,0.30000000000000004,0.30000000000000004,0.0
SeqDrift21,100.0,100.0,0.0,52.9,0.0,0.0,0.0,0.48989794855663565
SeqDrift22,100.0,100.0,0.0,52.9,0.0,0.0,0.0,0.48989794855663565
SeqDrift23,100.0,100.0,0.0,52.9,0.0,0.0,0.0,0.48989794855663565
SeqDrift24,100.0,100.0,0.0,53.85,0.0,0.0,0.0,0.5722761571129799
SeqDrift25,100.0,100.0,0.0,53.85,0.0,0.0,0.0,0.5722761571129799
SeqDrift26,100.0,100.0,0.0,55.3,0.0,0.0,0.0,0.39999999999999997
SeqDrift27,100.0,100.0,0.0,55.95,0.0,0.0,0.0,0.4974937185533099
SeqDrift28,100.0,100.0,0.0,55.95,0.0,0.0,0.0,0.4974937185533099
SeqDrift29,100.0,100.0,0.0,58.05,0.0,0.0,0.0,0.4974937185533099
SeqDrift210,100.0,100.0,0.0,149.5,0.0,0.0,0.0,0.0
SeqDrift211,100.0,100.0,0.0,149.5,0.0,0.0,0.0,0.0
SeqDrift212,100.0,100.0,0.0,149.5,0.0,0.0,0.0,0.0
SeqDrift213,100.0,100.0,0.0,149.5,0.0,0.0,0.0,0.0
SeqDrift214,100.0,100.0,0.0,149.5,0.0,0.0,0.0,0.0
SeqDrift215,100.0,100.0,0.0,149.5,0.0,0.0,0.0,0.0
SeqDrift216,100.0,100.0,0.0,149.5,0.0,0.0,0.0,0.0
SeqDrift217,100.0,100.0,0.0,149.5,0.0,0.0,0.0,0.0
SeqDrift218,100.0,100.0,0.0,149.5,0.0,0.0,0.0,0.0
