detector,mean_n_detect,mean_n_TP,mean_n_FP,mean_delay,std_n_detect,std_n_TP,std_n_FP,std_delay
PH1,2279.1,92.55,2186.55,40.29410346485489,56.3452748684395,2.801338965566288,54.8511394594497,5.797868606820669
PH2,140.45,50.0,90.45,62.840999999999994,8.657222418304846,0.0,8.657222418304846,4.925576006925485
PH3,4847.85,100.0,4747.85,16.1435,34.42568082115443,0.0,34.42568082115443,1.2346549113011296
PH4,2190.6,88.7,2101.9,31.282337042232815,87.32433795912797,2.6095976701399777,85.17153280292659,7.074400758511395
PH5,1002.6,67.6,935.0,47.150736399502655,55.77221530475547,4.079215610874228,52.24844495293616,7.80084151000843
PH6,83.3,49.5,33.8,85.06174659863946,3.7960505792204615,0.6708203932499369,3.8678159211627436,7.304568181234195
PH7,3402.75,99.55,3303.2,22.719634714491857,42.9300302818435,0.5894913061275798,42.82475919371876,3.682812808964358
PH8,651.3,53.95,597.35,30.60120974400944,44.876608606266146,1.774119499921017,43.37542506996329,4.220778305979374
PH9,2031.8,91.55,1940.25,40.84796105791932,60.72939979943816,3.2322592717787972,58.24849783470815,5.2271985818904225
PH10,136.7,50.0,86.7,62.81699999999999,8.355237878121724,0.0,8.355237878121724,4.979310293604929
PH11,3576.3,100.0,3476.3,20.371499999999997,25.544275288212816,0.0,25.544275288212816,1.470949608246319
PH12,1752.6,89.15,1663.45,36.37840283332558,66.11308493785478,2.7977669667075564,63.80162615482461,6.669447347991034
PH13,939.35,67.45,871.9,47.456531493059785,53.29472300331432,4.200892762258994,49.825595831861364,6.897485932760514
PH14,82.45,49.5,32.95,85.29693027210882,4.104570623098109,0.6708203932499369,4.116734142496938,7.461151543930843
PH15,2692.65,99.6,2593.05,26.84973232323232,33.314073602608254,0.4898979485566356,33.12472641396454,2.0639745287419076
PH16,549.25,54.1,495.15,33.85144862007791,40.31361432568407,1.841195263952197,38.7998389171914,4.555041977403114
ADWIN1,198.55,92.65,105.9,245.4249362267078,1.5644487847162014,1.9817921182606415,2.071231517720798,15.231222171842179
ADWIN2,196.85,91.8,105.05,232.77726630375955,2.1511624764298953,2.3366642891095846,2.3973944189473704,21.744897571665852
ADWIN3,193.9,90.65,103.25,217.13974482194595,2.4474476501040834,2.7436289836637897,2.9643717715563276,20.963997523382552
ADWIN4,189.75,89.05,100.7,186.99371574113016,2.790609252475165,3.1539657575820317,4.659399102888697,21.51713243421291
ADWIN5,180.8,86.5,94.3,156.7352821309877,4.007492981902775,3.383784863137726,5.441507144165117,18.743412246751905
ADWIN6,168.5,85.95,82.55,134.5779157854724,3.721558813185679,3.007906248539007,3.8532453853861943,12.61736163431369
ADWIN7,153.35,85.8,67.55,120.02763329171758,3.021175268004159,3.0430248109405875,4.030818775385468,15.095526936836759
ADWIN8,142.4,85.85,56.55,111.74092585649746,3.5270384177096794,2.8332843133014376,4.104570623098109,12.945553903011255
ADWIN9,116.75,91.45,25.3,113.49362335354479,2.878801834096956,1.883480820183736,3.8483762809787714,8.022611836746082
DDM1,599.85,46.05,553.8,318.76820636853876,18.108768594247373,1.5960889699512366,18.00444389588304,12.70306336379063
DDM2,599.85,46.05,553.8,318.76820636853876,18.108768594247373,1.5960889699512366,18.00444389588304,12.70306336379063
DDM3,2664.2,60.1,2604.1,80.03623232278008,25.742183279589945,1.9209372712298547,25.27231687044146,7.231705880338443
DDM4,1708.05,50.55,1657.5,182.4808035516093,24.751717112152036,0.7399324293474371,24.894778569009205,9.155869450835805
DDM5,494.7,22.0,472.7,254.245766420174,68.38793753287197,3.3466401061363023,65.3093408326864,15.253702802839953
