detector,mean_n_detect,mean_n_TP,mean_n_FP,mean_delay,std_n_detect,std_n_TP,std_n_FP,std_delay
PH1,2182.55,98.85,2083.7,76.17184143108976,50.209038031015886,1.061838029079765,49.55108475099208,11.566090137838419
PH2,145.95,50.95,95.0,59.55486224314395,18.44308813620973,2.246664193866097,16.884904500766357,14.894234546494026
PH3,4290.4,100.0,4190.4,19.383499999999998,43.31327741005061,0.0,43.31327741005061,1.665395673706402
PH4,2552.75,99.95,2452.8,48.886434343434345,44.791600775145334,0.21794494717703367,44.82588537887456,6.251490371684055
PH5,1289.35,90.85,1198.5,116.06261364821526,32.53348275238911,2.3081377775167584,31.28178383660369,13.243368156968398
PH6,62.15,48.65,13.5,61.36047248154582,4.05308524460071,0.8529361054615989,4.201190307520001,6.856327967776605
PH7,3258.9,100.0,3158.9,33.70399999999999,47.5835055455144,0.0,47.5835055455144,3.7666090851055944
PH8,1631.8,97.2,1534.6,95.7656969548473,36.54805056360736,1.5362291495737215,36.18342161819415,11.256469892037565
PH9,1906.85,98.85,1808.0,78.25171140183659,36.90294703678827,1.0136567466356645,36.42526595647587,10.041417779272772
PH10,141.7,51.1,90.6,60.79066079358061,17.813197354770423,2.3430749027719964,16.107141273360707,14.393255514558216
PH11,2961.25,100.0,2861.25,24.338,21.956491067563597,0.0,21.956491067563597,1.8061633370213221
PH12,1945.2,99.95,1845.25,52.22676767676768,24.473659309551564,0.21794494717703367,24.466047903165727,6.989585017179224
PH13,1177.0,90.5,1086.5,117.60943145794545,30.056613249000627,2.355843797877949,29.05770121671706,12.512644505770782
PH14,61.2,48.7,12.5,61.39845207338256,3.61386219991853,0.9,3.7483329627982624,6.815192126246402
PH15,2431.75,100.0,2331.75,37.31399999999999,26.366408553308887,0.0,26.366408553308887,4.816485648270946
PH16,1320.9,97.25,1223.65,98.49012092160804,25.24262268465779,1.840516231930596,24.674430084603777,9.52906480459257
ADWIN1,100.55,99.8,0.75,115.70933333333335,0.5894913061275798,0.39999999999999997,0.698212002188447,3.423649199589944
ADWIN2,100.55,99.7,0.85,118.86438754895896,0.5894913061275798,0.5567764362830021,0.7262919523166975,3.5453248392812577
ADWIN3,100.2,99.8,0.4,122.09818181818181,0.4,0.39999999999999997,0.4898979485566357,3.858063862306606
ADWIN4,100.2,99.85,0.35,128.42573737373738,0.4,0.3570714214271425,0.4769696007084729,3.879186522233514
ADWIN5,100.05,99.95,0.1,137.78606060606063,0.21794494717703367,0.21794494717703367,0.30000000000000004,4.106467590251844
ADWIN6,100.0,100.0,0.0,146.92000000000002,0.0,0.0,0.0,3.8817727908778994
ADWIN7,100.0,100.0,0.0,159.608,0.0,0.0,0.0,3.739039448842443
ADWIN8,100.0,100.0,0.0,168.74399999999997,0.0,0.0,0.0,4.147797487824107
ADWIN9,100.0,100.0,0.0,199.28799999999998,0.0,0.0,0.0,4.565218067080694
DDM1,25.05,8.7,16.35,265.028869047619,4.6419284785528525,2.758622844826744,3.8636122993903,37.431517008327084
DDM2,25.05,8.7,16.35,265.028869047619,4.6419284785528525,2.758622844826744,3.8636122993903,37.431517008327084
DDM3,1059.25,52.55,1006.7,82.29364372786543,23.788390025388438,1.6271140095272978,23.354014644167712,8.431808283224433
DDM4,237.25,44.4,192.85,201.02704983098818,15.652076539552189,2.2,14.775909447475644,14.724731155009852
DDM5,60.35,16.55,43.8,262.5356598599199,7.754192414429759,3.3087006513131407,6.982836100038437,30.799320657176686
DDM6,0.05,0.0,0.05,nan,0.21794494717703367,0.0,0.21794494717703367,nan
DDM7,0.05,0.0,0.05,nan,0.21794494717703367,0.0,0.21794494717703367,nan
DDM8,55.35,17.6,37.75,266.9476814851815,8.320306484739609,3.1368774282716245,6.7370245657857,32.74974199524784
DDM9,3.7,1.5,2.2,281.94907407407413,1.8466185312619388,0.9746794344808963,1.2489995996796797,102.94838369752478
DDM10,0.4,0.2,0.2,223.5,0.48989794855663565,0.4000000000000001,0.4,100.63423870631705
SeqDrift21,103.75,98.2,5.55,99.4561330749107,1.9461500456028564,1.0295630140987,2.03654118544163,0.930975209329612
SeqDrift22,103.25,98.5,4.75,99.35307185042089,1.920286436967152,1.02469507659596,1.920286436967152,0.7290800518515419
SeqDrift23,102.85,98.7,4.15,99.35307185042089,1.7109938632268673,1.0535653752852738,1.7684739183827394,0.7290800518515419
SeqDrift24,102.3,98.9,3.4,99.50561771725248,1.5198684153570663,0.9433981132056604,1.624807680927192,0.811009905688449
SeqDrift25,101.25,99.4,1.85,99.80608122036693,1.0428326807307104,0.6633249580710799,1.2757350822173072,0.8778380195817823
SeqDrift26,100.75,99.65,1.1,100.60656565656565,0.8874119674649424,0.47696960070847283,1.0908712114635717,1.1191284442124796
SeqDrift27,100.4,99.75,0.65,101.75656565656566,0.6633249580710798,0.4330127018922193,0.852936105461599,1.3758521304221856
SeqDrift28,100.2,99.8,0.4,103.00757575757575,0.39999999999999997,0.39999999999999997,0.66332495807108,1.1398392415520626
SeqDrift29,100.05,100.0,0.05,110.1,0.21794494717703367,0.0,0.21794494717703364,3.3600595232822883
SeqDrift210,103.2,99.1,4.1,150.05661219814388,1.5033296378372907,0.9433981132056604,1.6401219466856725,1.6868751499239416
SeqDrift211,102.65,99.35,3.3,150.2828901257473,1.6209565077447328,0.7921489758877429,1.7349351572897473,1.8389614164324073
SeqDrift212,102.35,99.6,2.75,150.7060606060606,1.49248115565993,0.6633249580710798,1.6695807857064,2.047240828368904
SeqDrift213,101.85,99.7,2.15,151.25557616986188,1.2757350822173072,0.6403124237432849,1.388344337691482,2.5048939111574255
SeqDrift214,100.95,99.8,1.15,152.3080808080808,0.9733961166965893,0.39999999999999997,1.1079259903080168,2.4271100463775452
SeqDrift215,100.5,100.0,0.5,154.0,0.7416198487095663,0.0,0.7416198487095663,3.3763886032268267
SeqDrift216,100.1,100.0,0.1,157.1,0.30000000000000004,0.0,0.30000000000000004,3.923009049186606
SeqDrift217,100.05,100.0,0.05,160.6,0.21794494717703367,0.0,0.21794494717703364,3.6660605559646715
SeqDrift218,100.0,100.0,0.0,178.7,0.0,0.0,0.0,5.030904491242107
