PH1,mean,std
med_sev,3.0,0.0
kurto_sev,1.4376619204635759,0.7408462667219524
skew_sev,1.171393081649091,0.1025783989966683
perc10_sev,0.0,0.0
perc90_sev,10.745000000000005,0.4306680856529787
med_mag,4.934336665618132,0.04818371443277981
kurto_mag,0.07863231067891992,0.15561889723697717
skew_mag,-0.20959189976188308,0.06776267233773625
perc10_mag,4.472135954999578,1.7763568394002505e-15
perc90_mag,5.385164807134502,1.7763568394002505e-15
med_interv,33.925,0.4548351349665062
kurto_interv,10.671086566612392,2.955983458532889
skew_interv,2.4565880017497195,0.24894472254935934
perc10_interv,15.2,0.39999999999999997
perc90_interv,85.56500000000001,1.6938934441103244
,,
PH2,mean,std
med_sev,4.2,0.39999999999999997
kurto_sev,9.506782441677197,7.4618123938021075
skew_sev,2.251773739268315,0.6340332789797515
perc10_sev,1.0,0.0
perc90_sev,12.3,0.5567764362830022
med_mag,4.954540768504861,0.050257071375762
kurto_mag,0.06427881004563316,0.32880058895728126
skew_mag,-0.20208703765060504,0.11789816777238306
perc10_mag,4.460812253853689,0.033971103437671686
perc90_mag,5.3897678455303595,0.020064179200782038
med_interv,130.1,6.404295433535215
kurto_interv,11.683796153512889,1.8219624198403166
skew_interv,3.0853738856160304,0.21557430668108143
perc10_interv,33.605000000000004,2.3219549952572303
perc90_interv,518.6200000000001,42.03891768349896
,,
PH3,mean,std
med_sev,5.0,0.0
kurto_sev,-1.0997554307118234,0.035679544509110844
skew_sev,0.3837603725082324,0.02931030902376668
perc10_sev,1.0,0.0
perc90_sev,12.0,0.0
med_mag,4.92928563989645,0.04629341541355536
kurto_mag,0.05890179661607335,0.10159675180071742
skew_mag,-0.21289757223356415,0.040889494573137446
perc10_mag,4.472135954999578,1.7763568394002505e-15
perc90_mag,5.385164807134502,1.7763568394002505e-15
med_interv,19.0,0.0
kurto_interv,7.536905913629373,1.4097321931951696
skew_interv,2.268784160988038,0.1332082693874824
perc10_interv,14.0,0.0
perc90_interv,40.95,0.5894913061275797
,,
PH4,mean,std
med_sev,5.0,0.0
kurto_sev,-1.1141444600241528,0.03829899701866775
skew_sev,0.34870551106356257,0.033969787034894616
perc10_sev,1.0,0.0
perc90_sev,11.9,0.3
med_mag,4.92928563989645,0.04629341541355536
kurto_mag,0.0732369025314135,0.13338364340891581
skew_mag,-0.21533601281879272,0.05822349975139241
perc10_mag,4.472135954999578,1.7763568394002505e-15
perc90_mag,5.385164807134502,1.7763568394002505e-15
med_interv,27.6,0.5830951894845302
kurto_interv,10.725188298760273,7.039467541091941
skew_interv,2.458909331189024,0.37610369199818544
perc10_interv,14.15,0.35707142142714243
perc90_interv,66.2,1.4352700094407322
,,
PH5,mean,std
med_sev,3.05,0.21794494717703367
kurto_sev,4.973835697077095,2.3388277385979808
skew_sev,1.6802562168112043,0.27676383032205026
perc10_sev,0.0,0.0
perc90_sev,11.0,0.0
med_mag,4.934336665618131,0.048183714432779814
kurto_mag,0.07617137988073111,0.17988417082765595
skew_mag,-0.21422024830043745,0.08857466524630228
perc10_mag,4.472135954999578,1.7763568394002505e-15
perc90_mag,5.385164807134502,1.7763568394002505e-15
med_interv,49.6,1.0677078252031311
kurto_interv,18.685299355490432,9.435548686690806
skew_interv,3.1338283753491547,0.6730865240153621
perc10_interv,18.5,0.6708203932499369
perc90_interv,134.735,3.4678920110061093
,,
PH6,mean,std
med_sev,4.9,0.4358898943540673
kurto_sev,15.171534433534095,10.745969217476386
skew_sev,3.2514387684897756,1.0036072554546638
perc10_sev,1.5500000000000003,0.48010415536631224
perc90_sev,15.575000000000006,2.2013348223293994
med_mag,4.977270384252431,0.037374177329407114
kurto_mag,-0.0749383279458726,0.2511653350788532
skew_mag,-0.10449760683440519,0.22830246903188092
perc10_mag,4.5051280134113245,0.06092462844425847
perc90_mag,5.422369347286543,0.053595925916454124
med_interv,348.275,48.837607179303944
kurto_interv,-0.25172353158079797,0.3898028627866565
skew_interv,1.0875516487121257,0.1606046289949165
perc10_interv,65.375,14.36610159368226
perc90_interv,1993.9950000000001,91.28688008142238
,,
PH7,mean,std
med_sev,5.0,0.0
kurto_sev,-1.0606413040862737,0.047058082787037894
skew_sev,0.42107562947098504,0.029824857385822075
perc10_sev,1.0,0.0
perc90_sev,11.9,0.30000000000000004
med_mag,4.934336665618132,0.04818371443277981
kurto_mag,0.05650815862507834,0.1228289477285451
skew_mag,-0.21134816420454272,0.04954697158612699
perc10_mag,4.472135954999578,1.7763568394002505e-15
perc90_mag,5.385164807134502,1.7763568394002505e-15
med_interv,23.45,0.4974937185533099
kurto_interv,8.052065584025602,2.764204173943675
skew_interv,2.244783941687719,0.18566864433557748
perc10_interv,14.0,0.0
perc90_interv,54.2,0.8717797887081347
,,
PH8,mean,std
med_sev,5.0,0.0
kurto_sev,-1.090542754352367,0.04890807533604939
skew_sev,0.35244196253148896,0.032873252541742136
perc10_sev,1.0,0.0
perc90_sev,11.95,0.21794494717703364
med_mag,4.934336665618131,0.048183714432779814
kurto_mag,0.08856213143353871,0.13891713117986745
skew_mag,-0.22533503010163586,0.05491098014547362
perc10_mag,4.472135954999578,1.7763568394002505e-15
perc90_mag,5.385164807134502,1.7763568394002505e-15
med_interv,36.3,0.714142842854285
kurto_interv,15.705875375448505,9.880229626674753
skew_interv,2.916990382045022,0.5646066324413899
perc10_interv,15.9,0.30000000000000004
perc90_interv,95.97,2.0635164162177153
,,
PH9,mean,std
med_sev,5.75,0.4330127018922193
kurto_sev,-0.4928658106137993,0.1512747480409746
skew_sev,0.8652162101241065,0.06609605913773905
perc10_sev,1.0,0.0
perc90_sev,23.2,0.6000000000000001
med_mag,4.919183588453086,0.0404082057734577
kurto_mag,0.07266311963735292,0.16641039431216473
skew_mag,-0.20943640350957762,0.0681566098299617
perc10_mag,4.472135954999578,1.7763568394002505e-15
perc90_mag,5.385164807134502,1.7763568394002505e-15
med_interv,40.45,0.6689544080129826
kurto_interv,13.25851278564537,6.111065211481307
skew_interv,2.7740351514269,0.4556842604375099
perc10_interv,29.0,0.0
perc90_interv,91.41499999999999,2.1776765140855985
,,
PH10,mean,std
med_sev,6.4,0.58309518948453
kurto_sev,0.040260413221795764,1.0000150754095019
skew_sev,0.942684930833402,0.16092762667389576
perc10_sev,1.95,0.21794494717703375
perc90_sev,23.105000000000004,0.5705041629997092
med_mag,4.954540768504861,0.050257071375762
kurto_mag,0.05679157601811711,0.32641719836428407
skew_mag,-0.2064557486647848,0.1289851401474922
perc10_mag,4.465229843451939,0.04030967200161012
perc90_mag,5.3897678455303595,0.020064179200782038
med_interv,139.875,5.368600841932654
kurto_interv,11.45336193244505,1.7188741648138917
skew_interv,3.065645678080103,0.209234959172209
perc10_interv,44.005,2.169671634141903
perc90_interv,531.5200000000001,43.48990227627562
,,
PH11,mean,std
med_sev,11.6,0.58309518948453
kurto_sev,-1.2071732892075033,0.03570834313976914
skew_sev,0.2289035381094106,0.04453169596433048
perc10_sev,2.0,0.0
perc90_sev,24.95,0.21794494717703364
med_mag,4.92928563989645,0.04629341541355536
kurto_mag,0.06655428656487691,0.13642012868979778
skew_mag,-0.2190822683114578,0.04638465327280081
perc10_mag,4.472135954999578,1.7763568394002505e-15
perc90_mag,5.385164807134502,1.7763568394002505e-15
med_interv,30.05,0.21794494717703367
kurto_interv,10.219732260463005,2.881320888690517
skew_interv,2.6909774251526466,0.2413147931624602
perc10_interv,29.0,0.0
perc90_interv,50.7,1.053565375285274
,,
PH12,mean,std
med_sev,12.4,0.48989794855663554
kurto_sev,-1.2231704608141336,0.02234773827826689
skew_sev,0.1719343847862515,0.035877155893059794
perc10_sev,2.0,0.0
perc90_sev,25.020000000000003,0.08717797887083328
med_mag,4.92928563989645,0.04629341541355536
kurto_mag,0.06828151210819142,0.1594219983659889
skew_mag,-0.21636987481508346,0.06596008233195663
perc10_mag,4.472135954999578,1.7763568394002505e-15
perc90_mag,5.385164807134502,1.7763568394002505e-15
med_interv,40.975,0.40233692348577693
kurto_interv,12.343495115550478,9.426013524836687
skew_interv,2.5904271661429354,0.5275976535814132
perc10_interv,29.0,0.0
perc90_interv,77.59,1.272360011946302
,,
PH13,mean,std
med_sev,5.35,0.4769696007084728
kurto_sev,-0.16159324567862465,0.1752163763283477
skew_sev,0.9904798236940018,0.05733498959301959
perc10_sev,1.0,0.0
perc90_sev,22.320000000000004,0.682348884369273
med_mag,4.93181115275729,0.04594767931681247
kurto_mag,0.08286113451544821,0.20843081525098414
skew_mag,-0.20594708271618217,0.09384977072826893
perc10_mag,4.472135954999578,1.7763568394002505e-15
perc90_mag,5.385164807134502,1.7763568394002505e-15
med_interv,56.75,1.1779218989389746
kurto_interv,18.666156823159962,10.350752661378591
skew_interv,3.1715360841997176,0.7392457167348601
perc10_interv,29.0,0.0
perc90_interv,143.36,3.9877813380374816
,,
PH14,mean,std
med_sev,6.2,0.659545297913646
kurto_sev,5.308417128802824,4.757687707503369
skew_sev,1.8752963697598062,0.680368710673487
perc10_sev,1.94,0.22000000000000003
perc90_sev,23.535000000000004,1.9522487034187
med_mag,4.972219358530748,0.04367019976908595
kurto_mag,-0.05843676997905214,0.27304149090126584
skew_mag,-0.1028097677349284,0.23320290621385767
perc10_mag,4.501220663440316,0.0608760463928607
perc90_mag,5.422829651126129,0.0528341470302214
med_interv,360.3,46.34959546749033
kurto_interv,-0.3006367543071759,0.374262916481089
skew_interv,1.0688274728721465,0.1565580529526971
perc10_interv,73.95000000000002,13.593325568086712
perc90_interv,2005.7600000000002,83.47290817983993
,,
PH15,mean,std
med_sev,11.55,0.4974937185533099
kurto_sev,-1.198216600798006,0.028962157599939503
skew_sev,0.25100245582836594,0.03125185208655278
perc10_sev,2.0,0.0
perc90_sev,25.05,0.21794494717703364
med_mag,4.92928563989645,0.04629341541355536
kurto_mag,0.09613540736763167,0.13887689250790483
skew_mag,-0.22037864821251754,0.0577692466457478
perc10_mag,4.472135954999578,1.7763568394002505e-15
