detector,mean_n_detect,mean_n_TP,mean_n_FP,mean_delay,std_n_detect,std_n_TP,std_n_FP,std_delay
PH1,1204.45,68.2,1136.25,83.31337947111612,44.56621478205211,3.515679166249389,42.18397207471103,13.435565593135717
PH2,65.5,49.2,16.3,29.051881802721095,4.341658669218482,0.7483314773547882,4.038564101261734,2.521123426509037
PH3,2979.0,98.55,2880.45,49.174712832198765,54.93359627768785,1.16081867662439,54.05596636820028,8.442571516956678
PH4,847.4,69.1,778.3,76.74411337290454,61.602272685348225,3.433656942677879,58.783586144433215,14.031904072620444
PH5,522.4,54.2,468.2,43.42749542835306,17.165080832900262,2.111871208194288,15.976858264377261,12.684399407186605
PH6,54.05,49.1,4.95,36.32667849748594,1.4654350889752843,1.044030650891055,1.5960889699512368,2.543372571524609
PH7,1806.1,89.7,1716.4,79.05478248744585,45.34523128180073,3.1953090617340916,44.12074342075392,10.426484478806847
PH8,194.4,50.85,143.55,25.269808080984077,19.83280111330722,1.3143439428094916,18.68548902223327,8.32684937444178
PH9,1112.1,68.6,1043.5,86.24539633358323,42.60739372456381,3.0561413579872245,40.58755967042118,11.871866627664572
PH10,63.7,49.15,14.55,29.60199580257635,3.8483762809787714,0.8529361054615989,3.5281014724636255,2.8383280308003855
PH11,2319.0,98.95,2220.05,56.39552282662519,31.92334568932273,0.8046738469715541,31.366343427310742,8.753891771910306
PH12,725.4,69.2,656.2,81.70334541110631,47.092886936351654,3.203123475609393,44.653779235357,11.15833040862293
PH13,496.45,54.2,442.25,44.986684375196845,10.988516733390362,2.0639767440550294,10.357967947430616,11.895319748650124
PH14,53.45,49.05,4.4,36.40963768115942,1.4309088021254184,1.023474474522936,1.4966629547095764,2.6032541705781735
PH15,1515.4,90.15,1425.25,85.99516889058603,47.38079779826422,3.4245437652335533,46.133366449891774,13.37325787661106
PH16,171.15,50.8,120.35,27.63933861273761,16.76387485040377,1.3266499161421599,15.57329444915237,8.199494606236788
ADWIN1,101.15,99.8,1.35,57.67523232323233,0.9630680142129111,0.39999999999999997,1.0136567466356645,1.7399638367649095
ADWIN2,100.6,99.85,0.75,58.707030303030294,0.7348469228349533,0.3570714214271425,0.7664854858377946,2.1001036346810045
ADWIN3,100.4,99.85,0.55,60.993494949494945,0.7348469228349533,0.3570714214271425,0.8046738469715542,2.481592577898589
ADWIN4,100.15,100.0,0.15,63.224000000000004,0.3570714214271425,0.0,0.3570714214271425,2.159644415175795
ADWIN5,100.0,100.0,0.0,67.304,0.0,0.0,0.0,1.8798468022687382
ADWIN6,100.0,100.0,0.0,71.688,0.0,0.0,0.0,2.2225606853357225
ADWIN7,100.0,100.0,0.0,76.776,0.0,0.0,0.0,2.287720262619536
ADWIN8,100.0,100.0,0.0,80.392,0.0,0.0,0.0,2.2386281513462674
ADWIN9,100.0,100.0,0.0,92.664,0.0,0.0,0.0,2.147757900695514
