PH1,mean,std
med_sev,2.0,0.0
kurto_sev,45.02040816326533,1.4210854715202004e-14
skew_sev,-6.857142857142859,0.0
perc10_sev,2.0,0.0
perc90_sev,2.0,0.0
med_mag,7.0710678118654755,0.0
kurto_mag,-3.0,0.0
skew_mag,0.0,0.0
perc10_mag,7.0710678118654755,0.0
perc90_mag,7.0710678118654755,0.0
med_interv,2002.0,0.0
kurto_interv,1.0469828528586493,1.5070940691355765
skew_interv,0.5660737534668345,0.4206926556599435
perc10_interv,2001.0,0.0
perc90_interv,2003.0,0.0
,,
PH2,mean,std
med_sev,3.0,0.0
kurto_sev,45.02040816326533,1.4210854715202004e-14
skew_sev,-6.857142857142859,0.0
perc10_sev,3.0,0.0
perc90_sev,3.0,0.0
med_mag,7.0710678118654755,0.0
kurto_mag,-3.0,0.0
skew_mag,0.0,0.0
perc10_mag,7.0710678118654755,0.0
perc90_mag,7.0710678118654755,0.0
med_interv,2002.0,0.0
kurto_interv,3.607167309903481,2.318103025132553
skew_interv,1.1565810610276037,0.511948704797575
perc10_interv,2001.0,0.0
perc90_interv,2003.0,0.0
,,
PH3,mean,std
med_sev,2.0,0.0
kurto_sev,45.02040816326533,1.4210854715202004e-14
skew_sev,-6.857142857142859,0.0
perc10_sev,2.0,0.0
perc90_sev,2.0,0.0
med_mag,7.0710678118654755,0.0
kurto_mag,-3.0,0.0
skew_mag,0.0,0.0
perc10_mag,7.0710678118654755,0.0
perc90_mag,7.0710678118654755,0.0
med_interv,2002.0,0.0
kurto_interv,-0.2605630681373677,0.6964693799316005
skew_interv,0.16714123455787516,0.2888537530633789
perc10_interv,2001.0,0.0
perc90_interv,2003.0,0.0
,,
PH4,mean,std
med_sev,2.0,0.0
kurto_sev,45.02040816326533,1.4210854715202004e-14
skew_sev,-6.857142857142859,0.0
perc10_sev,2.0,0.0
perc90_sev,2.0,0.0
med_mag,7.0710678118654755,0.0
kurto_mag,-3.0,0.0
skew_mag,0.0,0.0
perc10_mag,7.0710678118654755,0.0
perc90_mag,7.0710678118654755,0.0
med_interv,2002.0,0.0
kurto_interv,-0.2605630681373677,0.6964693799316005
skew_interv,0.16714123455787516,0.2888537530633789
perc10_interv,2001.0,0.0
perc90_interv,2003.0,0.0
,,
PH5,mean,std
med_sev,2.0,0.0
kurto_sev,45.02040816326533,1.4210854715202004e-14
skew_sev,-6.857142857142859,0.0
perc10_sev,2.0,0.0
perc90_sev,2.0,0.0
med_mag,7.0710678118654755,0.0
