detector,mean_n_detect,mean_n_TP,mean_n_FP,mean_delay,std_n_detect,std_n_TP,std_n_FP,std_delay
PH1,642.75,52.25,590.5,25.365679491470836,22.449665921790462,1.3738631664034087,22.123516899444354,6.819319036706963
PH2,56.2,49.2,7.0,27.330961734693876,1.9899748742132402,0.6782329983125268,1.7320508075688772,2.052524869358265
PH3,1715.05,82.6,1632.45,67.24901109617122,52.83131173839998,3.307567081708245,51.11993251169255,11.743110068567688
PH4,149.05,50.0,99.05,14.857000000000003,7.453019522314428,0.0,7.453019522314429,1.5827858351653268
PH5,174.5,50.05,124.45,19.45319607843138,10.698130677833394,0.21794494717703367,10.613552656862828,1.4562238182778242
PH6,51.8,49.45,2.35,33.5675212585034,1.1224972160321824,0.5894913061275798,1.061838029079765,2.1058773450600192
PH7,523.35,55.35,468.0,35.23202184556467,38.13040125674001,1.8781639970992947,37.083689136869864,7.231092701950733
PH8,112.5,49.65,62.85,16.890401360544217,8.634234187233979,0.6538348415311009,8.421846590861175,1.9051576322282033
PH9,608.95,51.9,557.05,27.225111969606424,23.747578823955926,1.2206555615733703,23.614561185844636,7.70473272910441
PH10,55.05,49.15,5.9,27.38959098639456,1.8567444627627139,0.6538348415311009,1.7,2.1498539883075813
PH11,1481.65,83.05,1398.6,75.2618736749711,42.37366517071659,3.007906248539006,40.82082801707971,13.085164505568736
PH12,125.75,49.95,75.8,18.479897959183678,6.370831970786861,0.21794494717703367,6.3608175575157,1.8018653016197341
PH13,165.8,50.0,115.8,20.644,8.818163074019441,0.0,8.818163074019441,1.9602510043359245
PH14,51.4,49.4,2.0,33.64389115646259,1.1135528725660047,0.6633249580710799,1.0488088481701516,2.185376359580926
PH15,456.35,55.35,401.0,38.230834693439135,29.105454815206034,1.851350858157362,28.08380316125293,7.970175376330547
PH16,98.8,49.45,49.35,19.79599990953828,6.368673331236264,0.804673846971554,6.027229877812857,2.077040528789571
ADWIN1,103.5,99.25,4.25,41.944473304473306,1.8027756377319946,0.6224949798994366,1.894069692487581,2.480086871810465
ADWIN2,102.65,99.4,3.25,42.68662626262626,1.4585952145814822,0.4898979485566356,1.5124483462254175,2.877394819848483
ADWIN3,101.85,99.5,2.35,44.36118161203875,1.1079259903080168,0.5916079783099616,1.3143439428094916,2.895214173597795
ADWIN4,101.3,99.7,1.6,45.75458585858586,1.004987562112089,0.45825756949558394,0.9695359714832659,1.9667844673751247
ADWIN5,100.35,99.9,0.45,48.01002020202021,0.5722761571129799,0.30000000000000004,0.5894913061275798,1.7249315132004854
ADWIN6,100.0,99.95,0.05,50.85030303030303,0.0,0.21794494717703367,0.21794494717703364,1.5715840067188496
ADWIN7,100.0,100.0,0.0,54.984,0.0,0.0,0.0,1.492723685080397
ADWIN8,100.0,100.0,0.0,57.864,0.0,0.0,0.0,1.3523549829833867
ADWIN9,100.0,100.0,0.0,66.968,0.0,0.0,0.0,1.6728227640727529
DDM1,1034.8,50.0,984.8,109.023,13.377593206552515,0.0,13.377593206552515,5.229987667289476
DDM2,1034.8,50.0,984.8,109.023,13.377593206552515,0.0,13.377593206552515,5.229987667289476
DDM3,1678.9,52.9,1626.0,44.54001337323748,22.198873845310263,2.165640782770772,22.631835983852483,2.688177416998371
DDM4,1282.0,42.2,1239.8,80.56423581632404,41.4801157182571,1.7204650534085253,40.20397990249224,10.245097259376323
DDM5,76.85,2.05,74.8,119.13725490196077,28.380054615874155,1.2031209415515967,27.38357171736368,50.21194410721943
DDM6,317.45,48.45,269.0,216.83590547039043,15.249508188790877,1.3219304066402284,14.983324063771697,11.999513249287565
DDM7,317.45,48.45,269.0,216.83590547039043,15.249508188790877,1.3219304066402284,14.983324063771697,11.999513249287565
DDM8,1053.3,50.05,1003.25,98.96109803921567,13.989639023220006,0.21794494717703367,14.003124651305509,4.627143294190812
DDM9,698.65,41.4,657.25,148.76201008385922,35.45881413696741,1.8,33.98657823317905,7.364183129634054
DDM10,24.75,1.05,23.7,245.89285714285714,9.054694914794203,0.804673846971554,8.361220006673667,115.43244446295797
SeqDrift21,153.55,76.05,77.5,170.628459286222,4.055551750378732,3.993432107849087,2.7477263328068173,3.4451165479394343
SeqDrift22,150.2,75.0,75.2,166.62483242099773,4.467661580737736,4.449719092257398,3.1559467676118995,4.146998586833233
SeqDrift23,145.5,73.1,72.4,162.01384789925177,4.780167361086848,4.624932431938871,3.583294573433783,4.368190113233812
SeqDrift24,138.25,70.25,68.0,153.95139193192787,4.3113223029599625,3.5478866949213583,3.5496478698597698,5.037330938089119
