detector,mean_n_detect,mean_n_TP,mean_n_FP,mean_delay,std_n_detect,std_n_TP,std_n_FP,std_delay
PH1,2673.85,96.65,2577.2,42.1802356713092,39.322099384442836,1.5898113095584645,39.14920177985753,5.5333602056333335
PH2,129.2,49.95,79.25,71.31675510204083,4.995998398718719,0.21794494717703367,5.048514633038118,6.915440934835512
PH3,5394.55,100.0,5294.55,16.068999999999996,38.097867394383115,0.0,38.097867394383115,1.4865426330919673
PH4,2667.3,92.55,2574.75,36.89985034046526,95.68286157928179,2.3124662159694354,93.6738357280196,4.324388397777679
PH5,1242.3,73.65,1168.65,58.110342103952846,63.39171870205129,3.5815499438092444,60.35335533340297,7.271754606511492
PH6,73.2,48.9,24.3,99.87717099073673,3.9698866482558417,1.044030650891055,4.172529209005013,9.8812741876109
PH7,3898.85,99.85,3799.0,22.716656565656567,41.34038582306653,0.3570714214271425,41.291645644125154,2.8599780234046763
PH8,824.5,54.5,770.0,36.41343997725632,52.81903066130616,1.5968719422671311,51.62557505732987,5.711597303271282
PH9,2377.4,96.4,2281.0,42.12843723809474,45.50318670159267,1.9339079605813718,44.6183818621877,6.023588736162585
PH10,125.75,49.95,75.8,71.0914081632653,4.689083066016212,0.21794494717703367,4.707440918375928,6.290127486625435
PH11,3861.35,100.0,3761.35,20.121000000000002,25.562227993662837,0.0,25.562227993662837,1.1569481405836648
PH12,2050.65,92.4,1958.25,39.425581762920125,58.34147324159718,2.2671568097509267,56.26355392258829,3.540204979932236
PH13,1154.7,73.7,1081.0,58.85773835073896,53.76718329985308,3.4655446902326914,51.005882013744255,7.738754550578224
PH14,72.25,48.9,23.35,100.17494910623824,3.6996621467371855,1.044030650891055,3.8636122993903,10.03349580220878
PH15,3003.35,99.9,2903.45,26.179555555555556,29.855108440600247,0.30000000000000004,29.863815898173495,2.7272680060565193
PH16,679.25,54.55,624.7,39.31122161543455,48.86601579830302,1.745709025009609,47.4858926419205,6.217877892878732
ADWIN1,174.8,88.05,86.75,146.69440375267385,4.905099387372289,2.9406631905065224,5.448623679425842,18.941479653654998
ADWIN2,169.8,88.95,80.85,140.51964752157738,4.1303752856126765,2.3764469276632285,4.746314359584708,14.548006037852108
ADWIN3,162.25,87.7,74.55,134.04701541449688,3.6038174204584785,2.0024984394500787,3.0736785778607367,12.465534986156204
ADWIN4,153.4,86.65,66.75,122.62593125007704,4.420407221060069,2.7617928959282954,4.61383788185064,14.946575401779494
ADWIN5,140.35,87.35,53.0,116.9344565833326,4.607331114647612,2.5154522456210535,5.522680508593631,11.840128844547598
ADWIN6,129.85,88.2,41.65,115.13208276652695,3.5954832776693593,2.111871208194288,4.911975162803656,10.527504906679699
ADWIN7,116.5,91.95,24.55,116.03487685234532,3.1859064644147983,2.2242976419535223,4.499722213648305,6.721566366543068
ADWIN8,110.6,93.65,16.95,127.56387681386411,2.956349099818896,2.6320144376503714,3.3387872049593095,6.950973859965735
ADWIN9,100.7,98.5,2.2,164.43700497506094,0.8426149773176358,0.806225774829855,1.1224972160321824,6.7560954871610015
DDM1,130.15,17.85,112.3,360.36687322623385,11.879709592410078,3.118894034750139,12.128891128211185,23.414566248166928
DDM2,130.15,17.85,112.3,360.36687322623385,11.879709592410078,3.118894034750139,12.128891128211185,23.414566248166928
DDM3,2085.5,54.65,2030.85,120.55349806499115,32.24980620096809,1.851350858157362,31.788795195791863,7.575251339520004
DDM4,802.95,49.2,753.75,269.95221202842833,32.01011558866977,1.5033296378372907,31.064247938747847,11.22814615893912
DDM5,180.9,18.45,162.45,333.5644406187469,30.228959624836577,3.7479994663820326,27.428953680372132,19.09780081668547
DDM6,2.05,0.15,1.9,424.6666666666667,1.3592277219068187,0.3570714214271425,1.3,93.11044815462739
DDM7,2.05,0.15,1.9,424.6666666666667,1.3592277219068187,0.3570714214271425,1.3,93.11044815462739
DDM8,347.75,36.45,311.3,348.6242868730805,16.525359300178618,3.9556921012636965,14.721073330433487,15.42977476416761
DDM9,56.4,8.15,48.25,385.9115204240204,7.213875518748574,3.021175268004159,7.112489015808741,33.50765264661121
