PH1,mean,std
med_sev,3.0,0.0
kurto_sev,1.4704041949449078,0.49644276843541446
skew_sev,1.1665325952237018,0.06734408071915918
perc10_sev,0.0,0.0
perc90_sev,10.7,0.45825756949558405
med_mag,4.989897948556636,0.030306154330093277
kurto_mag,0.09764661049438539,0.12504313652546478
skew_mag,-0.22752550346784442,0.04114782296435342
perc10_mag,4.472135954999578,1.7763568394002505e-15
perc90_mag,5.385164807134502,1.7763568394002505e-15
med_interv,33.5,0.5
kurto_interv,6.375294609605974,1.411935741766533
skew_interv,2.0479035117238467,0.1403890069736881
perc10_interv,15.0,0.0
perc90_interv,84.64000000000001,1.537010084547257
,,
PH2,mean,std
med_sev,4.95,0.2179449471770336
kurto_sev,8.441567984316531,3.605704154972132
skew_sev,2.208178011028528,0.3453643654582779
perc10_sev,1.0,0.0
perc90_sev,12.9,0.30000000000000004
med_mag,4.9949489742783175,0.022016910682037365
kurto_mag,0.10437229720296486,0.21441472601735923
skew_mag,-0.26092539533164083,0.08877966242118057
perc10_mag,4.488701915993017,0.039434874928225824
perc90_mag,5.393910580086632,0.02627766536470133
med_interv,146.9,4.45701693961331
kurto_interv,13.04544606425589,3.7629655411054204
skew_interv,2.93594152714912,0.36765338257610425
perc10_interv,34.855000000000004,2.1532475473108046
perc90_interv,478.68500000000006,27.41381540391638
,,
PH3,mean,std
med_sev,5.0,0.0
kurto_sev,-1.0755142336752548,0.032801729716931904
skew_sev,0.4071736795927465,0.02215707708989298
perc10_sev,1.0,0.0
perc90_sev,11.95,0.21794494717703367
med_mag,4.989897948556636,0.030306154330093277
kurto_mag,0.0878206320451588,0.08542840763867995
skew_mag,-0.21911621872588474,0.030124301770481823
perc10_mag,4.472135954999578,1.7763568394002505e-15
perc90_mag,5.385164807134502,1.7763568394002505e-15
med_interv,18.9,0.29999999999999993
kurto_interv,7.426678185235858,1.045231037403597
skew_interv,2.2662055567287505,0.10354460526658774
perc10_interv,14.0,0.0
perc90_interv,40.45,0.5894913061275796
,,
PH4,mean,std
med_sev,5.0,0.0
kurto_sev,-1.0912332456079454,0.025611164044940085
skew_sev,0.3618109257892156,0.021416211889520562
perc10_sev,1.0,0.0
perc90_sev,11.95,0.21794494717703364
med_mag,4.989897948556636,0.030306154330093277
kurto_mag,0.08751520996255815,0.09896775810947092
skew_mag,-0.22525213350424558,0.03451113033691064
perc10_mag,4.472135954999578,1.7763568394002505e-15
perc90_mag,5.385164807134502,1.7763568394002505e-15
med_interv,27.85,0.35707142142714243
kurto_interv,7.848724136885802,1.5615853657945142
skew_interv,2.2387859870318225,0.1336527221917213
perc10_interv,14.0,0.0
perc90_interv,67.155,1.1074633176769337
,,
PH5,mean,std
med_sev,3.0,0.0
kurto_sev,5.651172474705765,2.517016612407747
skew_sev,1.7372302261328698,0.22506295362395642
perc10_sev,0.0,0.0
perc90_sev,11.0,0.0
med_mag,4.9848469228349535,0.03607153868212252
kurto_mag,0.08781437059581296,0.11492032438619099
skew_mag,-0.22429075536957316,0.06334147167818716
perc10_mag,4.472135954999578,1.7763568394002505e-15
perc90_mag,5.385164807134502,1.7763568394002505e-15
med_interv,49.05,1.0712142642814275
kurto_interv,6.867965201800087,1.9233717776358572
skew_interv,2.0854596173526274,0.17961771809728252
perc10_interv,18.065,0.3468068626771955
perc90_interv,135.65,3.0944304807185494
,,
PH6,mean,std
med_sev,5.55,0.49749371855331004
kurto_sev,12.906389443108313,6.705328005296147
skew_sev,2.96942150321727,0.667041517381506
perc10_sev,1.935,0.2242208732477865
perc90_sev,17.19,1.9618613610548519
med_mag,4.954540768504861,0.050257071375762
kurto_mag,0.1355536806088498,0.4485931375371114
skew_mag,-0.27074511638341175,0.15941090447832656
perc10_mag,4.504135506871867,0.05158250449506003
perc90_mag,5.392909901553052,0.03684464172350149
med_interv,367.15,33.65453164137038
kurto_interv,2.85206538206783,0.7530685280705259
skew_interv,1.8287096026966245,0.16057844596696347
perc10_interv,68.83,8.813858405942314
perc90_interv,1798.4300000000003,236.60083283877094
,,
PH7,mean,std
med_sev,4.85,0.3570714214271423
kurto_sev,-1.032269794359141,0.03551100933834065
skew_sev,0.4443241853414139,0.02580111454115533
perc10_sev,1.0,0.0
perc90_sev,11.85,0.35707142142714243
med_mag,4.9848469228349535,0.03607153868212252
kurto_mag,0.10342240223841068,0.0879519637565667
skew_mag,-0.22954364501121155,0.03979151163998047
perc10_mag,4.472135954999578,1.7763568394002505e-15
perc90_mag,5.385164807134502,1.7763568394002505e-15
med_interv,23.025,0.10897247358851683
kurto_interv,6.892837834749021,1.7532200079383702
skew_interv,2.1533479168837664,0.12739064293567517
perc10_interv,14.0,0.0
perc90_interv,54.18499999999999,0.9166651515138943
,,
PH8,mean,std
med_sev,5.0,0.0
kurto_sev,-1.058129209232939,0.03436437931592384
skew_sev,0.37953029640034996,0.02719332221765789
perc10_sev,1.0,0.0
perc90_sev,11.95,0.21794494717703367
med_mag,4.989897948556636,0.03030615433009327
kurto_mag,0.1210882031642947,0.14463361598608418
skew_mag,-0.23779689801676937,0.04133735126914059
perc10_mag,4.472135954999578,1.7763568394002505e-15
perc90_mag,5.385164807134502,1.7763568394002505e-15
med_interv,37.725,0.766077672302228
kurto_interv,7.831811831682617,2.1016370969413747
skew_interv,2.2285543002475254,0.18804210075165423
perc10_interv,15.9,0.30000000000000004
perc90_interv,101.43000000000002,2.3531043325785768
,,
PH9,mean,std
med_sev,5.975,0.10897247358851683
kurto_sev,-0.5277660091356597,0.10113730669683571
skew_sev,0.8475563255503875,0.044636603265057355
perc10_sev,1.0,0.0
perc90_sev,23.029999999999994,0.3421987726453659
med_mag,4.979795897113272,0.04040820577345769
kurto_mag,0.10432934826638973,0.11219105304662982
skew_mag,-0.22756327041036667,0.044202443357930735
perc10_mag,4.472135954999578,1.7763568394002505e-15
perc90_mag,5.385164807134502,1.7763568394002505e-15
med_interv,40.0,0.4472135954999579
kurto_interv,7.479226338071586,1.6360340688452524
skew_interv,2.2683893684721084,0.15137966422220495
perc10_interv,29.0,0.0
perc90_interv,90.61000000000001,1.9325889371514136
,,
PH10,mean,std
med_sev,6.95,0.5894913061275799
kurto_sev,0.0726725814481323,0.6123068425439014
skew_sev,0.9344144746505471,0.12466984657414948
perc10_sev,2.0,0.0
perc90_sev,23.440000000000005,0.7255342858886815
med_mag,4.992423461417476,0.024091857216389907
kurto_mag,0.1134824281409251,0.2230475691964035
skew_mag,-0.2628272080204138,0.09375321567357811
perc10_mag,4.49422390299083,0.04417589598250409
perc90_mag,5.398973922322076,0.03287226925785355
med_interv,156.35,4.040730132042971
kurto_interv,13.058251737411982,3.769208876374695
skew_interv,2.9473758814603617,0.3707915839682691
perc10_interv,45.879999999999995,2.0963301266737537
perc90_interv,490.32000000000005,30.55962368878255
,,
PH11,mean,std
med_sev,11.55,0.4974937185533099
kurto_sev,-1.1971258355054781,0.037544121477565785
skew_sev,0.2442979822466008,0.04065187231076669
perc10_sev,2.0,0.0
perc90_sev,24.95,0.21794494717703367
med_mag,4.989897948556636,0.030306154330093277
kurto_mag,0.08187315422104909,0.08951272319302485
skew_mag,-0.224511703394792,0.029225638544657467
perc10_mag,4.472135954999578,1.7763568394002505e-15
perc90_mag,5.385164807134502,1.7763568394002505e-15
med_interv,30.0,0.0
kurto_interv,9.892170657399504,2.1932798739653334
skew_interv,2.670529348450917,0.1785338019038167
perc10_interv,29.0,0.0
perc90_interv,50.3,0.4582575694955839
,,
PH12,mean,std
med_sev,12.1,0.3
kurto_sev,-1.2128096594257376,0.030828078991248297
skew_sev,0.2092971126510093,0.03410101658742492
perc10_sev,2.0,0.0
perc90_sev,25.0,0.0
med_mag,4.9848469228349535,0.03607153868212252
kurto_mag,0.08733035691690857,0.11017925070313495
skew_mag,-0.2282395762308786,0.04163086296824942
perc10_mag,4.472135954999578,1.7763568394002505e-15
perc90_mag,5.385164807134502,1.7763568394002505e-15
med_interv,40.9,0.4358898943540673
kurto_interv,8.73691207462415,2.11654387766408
skew_interv,2.3527432060001487,0.1817960846293142
perc10_interv,29.0,0.0
perc90_interv,78.03,1.5369124893760218
,,
PH13,mean,std
med_sev,5.55,0.49749371855331004
kurto_sev,-0.1379140470513068,0.1793649342055785
skew_sev,0.9871637377824467,0.0459255259219934
perc10_sev,1.0,0.0
perc90_sev,22.385,0.5062361109205831
med_mag,4.979795897113272,0.040408205773457696
kurto_mag,0.11318403306779859,0.11823989038290367
skew_mag,-0.23013138748723955,0.06907707321438634
perc10_mag,4.472135954999578,1.7763568394002505e-15
perc90_mag,5.385164807134502,1.7763568394002505e-15
med_interv,56.1,0.99498743710662
kurto_interv,7.623711051268472,2.1727043532631702
skew_interv,2.1993586893866177,0.17832875991546315
perc10_interv,29.0,0.0
perc90_interv,141.49,3.2890576157920948
,,
PH14,mean,std
med_sev,6.3,0.45825756949558405
kurto_sev,6.123117364292762,4.481195019873156
skew_sev,1.9667567174120386,0.5176267120269064
perc10_sev,2.05,0.21794494717703367
perc90_sev,23.845000000000006,1.0263893023604658
med_mag,4.957066281365702,0.048644813115188236
kurto_mag,0.13524923132687577,0.45330125642851865
skew_mag,-0.27077345684011794,0.16282776192563375
perc10_mag,4.500172211470806,0.058244015250575945
perc90_mag,5.393370205392638,0.037824592636418936
med_interv,379.55,33.961338312852156
kurto_interv,2.7526439344288898,0.7464036767985494
skew_interv,1.8088484320934426,0.15978846653375176
perc10_interv,78.62,9.533708617322013
perc90_interv,1828.92,234.17961824206662
,,
PH15,mean,std
med_sev,11.4,0.58309518948453
kurto_sev,-1.2037211636910403,0.02936576296385838
skew_sev,0.27088839308806745,0.03999923672890088
perc10_sev,2.0,0.0
perc90_sev,25.0,0.0
med_mag,4.9848469228349535,0.03607153868212252
kurto_mag,0.09156770271756146,0.09976441153525965
skew_mag,-0.22674848770788483,0.03984650775445025
perc10_mag,4.472135954999578,1.7763568394002505e-15
perc90_mag,5.385164807134502,1.7763568394002505e-15
med_interv,34.25,0.4330127018922193
kurto_interv,7.935263688045035,1.2106399087403021
skew_interv,2.363478004966507,0.11453873702493544
perc10_interv,29.0,0.0
perc90_interv,64.15,0.9096702699330123
,,
PH16,mean,std
med_sev,12.2,0.6
kurto_sev,-1.2339608877302448,0.03431367510573451
skew_sev,0.20607384799639616,0.04383755727729246
perc10_sev,2.0,0.0
perc90_sev,25.0,0.0
med_mag,4.9949489742783175,0.022016910682037365
kurto_mag,0.0967470988407173,0.1247020484201381
skew_mag,-0.24031708976586108,0.04701675284005776
perc10_mag,4.472135954999578,1.7763568394002505e-15
perc90_mag,5.385164807134502,1.7763568394002505e-15
med_interv,50.25,0.698212002188447
kurto_interv,8.283532778106558,2.9185532768526543
skew_interv,2.2998649735964802,0.23917659050433113
perc10_interv,30.0,0.0
perc90_interv,111.595,2.837159671220492
,,
ADWIN1,mean,std
med_sev,415.2,80.5540812125618
kurto_sev,2.7550086829232723,4.487901477869725
skew_sev,1.4981175117370011,0.754420121186951
perc10_sev,35.36000000000001,27.591998840243527
perc90_sev,1273.2800000000002,262.75078991318
med_mag,4.951799002026629,0.06743691487743726
kurto_mag,-0.2851048198535677,0.5782571295315303
skew_mag,-0.11632558666550159,0.3008326421329682
